6454.state,AcK,AK
2255.rate,.0,7.0
7448.lname,Estlni,Estlin
6870.marriedexemp,y0,0
986.lname,Parrtee,Partee
3630.fname,Cvhaitali,Chaitali
14155.city,CSCILLA,CASCILLA
19464.marriedexemp,***,0
604.fname,Franciso,Francisco
2404.lname,Legeg,Legge
12214.city,LILBUNR,LILBURN
17509.zip,62228,26228
15815.singleexemp,q0,0
18854.state,J,NJ
8351.salary,2000,20000
15259.city,CHCAGO,CHICAGO
9273.gender,***,F
11591.zip,57384,57348
11890.singleexemp,l0,0
19713.gender,,F
18832.singleexemp,***,0
146.state,DnC,DC
2550.city,CEDArR,CEDAR
9985.gender,rF,F
11904.marriedexemp,10200,12000
16079.phone,63-2807,263-2807
17887.city,LOHMERE,LOCHMERE
13945.areacode,02,802
6619.areacode,343,334
15523.city,TYLRE,TYLER
17611.zip,99x708,99708
10250.phone,91-2147,291-2147
4989.state,TC,CT
10180.gender,***,F
797.gender,***,F
7163.state,YK,KY
6327.lname,Kleoden,Kloeden
17496.phone,283-514z4,283-5144
16272.rate,17.,1.7
10763.childexemp,***,0
12913.gender,hF,F
17620.childexemp,,0
17419.city,CYEY,CAYEY
17140.marriedexemp,***,0
11025.maritalstatus,,S
19106.salary,850b00,85000
13952.state,AI,IA
19953.marriedexemp,***,0
5855.marriedexemp,***,0
4797.childexemp,475,2475
4310.haschild,***,N
14461.gender,,F
16992.haschild,fY,Y
17299.childexemp,c0,0
17315.city,sCASPER,CASPER
7950.city,ACYEY,CAYEY
12352.city,EDAR RAPIDS,CEDAR RAPIDS
1206.gender,,M
17415.gender,,F
16141.singleexemp,,0
11671.state,rAK,AK
7707.singleexemp,e87,87
16625.rate,2.u87,2.87
18678.zip,216,2816
19649.phone,485-9786,485-7986
11887.areacode,03,803
2108.marriedexemp,***,0
18889.singleexemp,k0,0
13423.state,eDC,DC
9281.rate,.0,0.0
14734.city,WSETFIELD,WESTFIELD
1377.salary,450j00,45000
19300.lname,oSuvignier,Souvignier
9394.marriedexemp,21000,12000
9260.state,J,NJ
17096.childexemp,x0,0
1258.childexemp,110***,110
18939.marriedexemp,***,0
14585.city,CHARLxOTTE,CHARLOTTE
16315.city,CHRLOTTE,CHARLOTTE
3706.gender,***,M
13420.gender,hF,F
11194.gender,cF,F
14826.zip,73730,37730
6763.gender,***,F
12108.singleexemp,i0,0
985.gender,,M
2610.childexemp,3300***,3300
1581.rate,.8,7.8
19659.city,CENTRAL FALuLS,CENTRAL FALLS
12161.marriedexemp,,0
7717.haschild,,N
6762.singleexemp,s0,0
19567.singleexemp,***,0
9024.childexemp,,0
3379.lname,Bavdache,Badache
15439.marriedexemp,2000***,2000
1125.areacode,04,304
8323.marriedexemp,12i000,12000
19234.rate,0f.0,0.0
8812.gender,***,F
13201.singleexemp,***,0
4047.childexemp,***,0
15300.marriedexemp,l0,0
9094.maritalstatus,,M
9428.gender,***,F
14221.zip,84156,84165
7516.fname,Nirawnjan,Niranjan
9305.rate,.1,2.1
9718.salary,57000,75000
7273.gender,***,F
5425.marriedexemp,***,0
6738.gender,aM,M
12478.rate,00,0.0
16015.marriedexemp,o0,0
14944.childexemp,***,0
9808.fname,Puhspa,Pushpa
9923.childexemp,,0
10794.areacode,791,971
14265.gender,***,F
19093.gender,vM,M
16205.marriedexemp,400,4200
10149.state,TC,CT
3922.maritalstatus,***,S
9376.state,MN,NM
1696.phone,584w-7563,584-7563
17230.rate,5.4114094,5.1414094
2868.singleexemp,u0,0
18705.haschild,lN,N
13102.marriedexemp,***,0
19818.rate,61.83918,6.183918
10304.haschild,***,Y
18643.salary,0000,30000
19641.marriedexemp,m0,0
1339.state,DdC,DC
19301.city,FERMONT,FREMONT
16741.fname,Suchirta,Suchitra
11271.marriedexemp,12000***,12000
14514.marriedexemp,f0,0
7277.fname,Fariab,Fariba
9044.lname,Hajnsal,Hajnal
18366.city,SONrORA,SONORA
18193.rate,.3,5.3
15164.state,C,DC
19955.rate,6.w45,6.45
13797.state,DeC,DC
19821.lname,Steffenbs,Steffens
18604.lname,uamviboonsuk,Ruamviboonsuk
17649.maritalstatus,***,S
3080.state,LF,FL
9196.salary,650a00,65000
2939.state,pDC,DC
15331.areacode,09,509
1772.state,FdL,FL
15846.city,LAPZ,LAPAZ
13268.rate,9o.3,9.3
8434.lname,aFlgout,Falgout
14393.zip,3904v6,39046
