10468.rate,a3.4,3.4
6676.phone,38-4601,387-4601
15356.haschild,fN,N
1608.city,PINE MEDAOW,PINE MEADOW
9017.phone,4069876,406-9876
11943.rate,2.8818q183,2.8818183
702.marriedexemp,51,0
11407.singleexemp,37,0
316.childexemp,3352,3300
524.maritalstatus,,M
18716.haschild,***,Y
16144.childexemp,51,0
6695.phone,743d-3583,743-3583
11528.salary,40035,40000
17023.haschild,***,N
7885.marriedexemp,98,0
11872.phone,378s-5086,378-5086
9235.childexemp,31,0
5398.childexemp,74,0
10120.gender,,M
12919.singleexemp,4,0
2334.lname,Winkles,Winkels
3800.rate,.4,3.4
7156.lname,Dorosdlovacki,Doroslovacki
18369.state,A,MA
3043.maritalstatus,,S
1338.marriedexemp,28,0
15940.gender,***,F
18206.lname,Mdedes,Meddes
2960.lname,Kanamorji,Kanamori
3112.singleexemp,120,87
7922.marriedexemp,2065,2000
14880.city,BAYVILoLE,BAYVILLE
1479.lname,eMriste,Meriste
873.phone,212-5232,221-5232
15217.marriedexemp,6684,6600
8172.lname,Schulxmeyer,Schulmeyer
8784.marriedexemp,10,0
14410.marriedexemp,78,0
406.singleexemp,2168,2100
18409.haschild,,Y
12344.rate,3.035412,3.0356412
4721.salary,100014,100000
3786.phone,798-314,798-8314
15833.lname,ePtre,Petre
11103.maritalstatus,***,M
17622.marriedexemp,4225,4200
2802.rate,1.3826p939,1.3826939
16416.lname,eLinwand,Leinwand
738.rate,***,5
1324.haschild,,Y
10612.state,T,VT
16529.childexemp,1012,1000
6413.singleexemp,1345,1300
8819.singleexemp,17,0
10269.lname,Bx,Box
10051.childexemp,66,0
2833.gender,mF,F
13584.maritalstatus,,M
12992.lname,oMshell,Moshell
14001.lname,Tka,Taka
14653.singleexemp,1017,1000
3152.childexemp,4,0
3824.haschild,,Y
12812.haschild,,N
3312.rate,69,6.9
880.maritalstatus,,S
18421.state,sNH,NH
12566.city,BtOSLER,BOSLER
17742.maritalstatus,,S
8746.gender,,M
3504.maritalstatus,,S
12283.phone,479p-2224,479-2224
13904.gender,***,M
11788.childexemp,69,0
6761.state,AG,GA
9366.phone,307-185p5,307-1855
15317.state,NcY,NY
14887.maritalstatus,gM,M
8314.city,CLVELAND,CLEVELAND
2240.city,MEMPIHS,MEMPHIS
413.state,LI,IL
2574.singleexemp,8,0
17425.state,xID,ID
18085.phone,7099441,709-9441
3393.city,SONROA,SONORA
14616.haschild,,Y
4808.city,NEW OLEANS,NEW ORLEANS
737.marriedexemp,12049,12000
11750.marriedexemp,6601,6600
10408.lname,Bale,Bael
8490.phone,9205-113,920-5113
4652.rate,b6,6
19979.childexemp,41,0
19090.haschild,,N
13753.rate,x4.967658,4.967658
19337.marriedexemp,43,0
85.childexemp,1051,1000
14671.rate,62.5,6.25
6968.maritalstatus,rM,M
1700.maritalstatus,fM,M
8238.salary,90081,90000
11524.phone,817m-6256,817-6256
18432.gender,***,M
5368.maritalstatus,jM,M
11574.salary,45052,45000
10522.childexemp,98,0
7041.state,Y,NY
19761.city,EAST ELLIJAdY,EAST ELLIJAY
2544.maritalstatus,,S
10656.lname,Louteh,Louth
3594.childexemp,1538,1500
6343.rate,v7,7
16003.marriedexemp,66,0
4377.phone,123-4960,123-4906
2924.childexemp,36,0
5384.lname,Urbaxni,Urbani
3617.singleexemp,11,0
10620.rate,k0,0
7788.marriedexemp,5744,5700
16915.lname,Cppo,Cappo
358.haschild,cN,N
10227.maritalstatus,,S
6487.rate,***,3
15387.lname,Ayrmand,Armand
11299.childexemp,94,0
1407.lname,Beaal,Beal
5015.phone,9811648,981-1648
14110.childexemp,38,0
14319.childexemp,2854,2850
12534.rate,53.,5.3
15141.lname,Salvesn,Salvesen
14084.lname,Eriwg,Erwig
6254.state,NjV,NV
14796.rate,44,4.4
15614.childexemp,3120,3100
16591.lname,ollette,Collette
18912.city,LYgONS,LYONS
15632.salary,10014,10000
13332.salary,70039,70000
2499.city,ROAYLTON,ROYALTON
4234.singleexemp,100,0
2728.maritalstatus,dM,M
4166.maritalstatus,bS,S
16566.gender,tM,M
3756.phone,659-53h76,659-5376
6957.singleexemp,1039,1000
10683.salary,40098,40000
12495.salary,25044,25000
9506.salary,75033,75000
16207.salary,10041,10000
1341.phone,866x-4444,866-4444
20000.haschild,,Y
18494.singleexemp,32,0
11961.maritalstatus,gS,S
19209.maritalstatus,***,S
345.salary,35037,35000
1809.marriedexemp,3031,3000
10801.phone,97-3753,974-3753
9400.lname,Fleici,Felici
17681.gender,***,M
10863.childexemp,62,0
17583.gender,***,F
14031.childexemp,3343,3300
1017.salary,30014,30000
7731.maritalstatus,xM,M
11650.state,E,NE
12359.childexemp,8,0
17547.maritalstatus,,S
5818.salary,65009,65000
4356.salary,75069,75000
15885.phone,33-5749,336-5749
2195.salary,100092,100000
3879.gender,wF,F
9803.state,IH,HI
19033.phone,9d83-5921,983-5921
1848.marriedexemp,89,0
204.childexemp,49,0
13320.childexemp,1097,1000
184.maritalstatus,yS,S
12354.maritalstatus,iS,S
8354.salary,20095,20000
1569.marriedexemp,55,0
13805.marriedexemp,19,0
15116.phone,53-4981,503-4981
18902.city,ADMSVILLE,ADAMSVILLE
17144.salary,75008,75000
13194.maritalstatus,wS,S
7219.salary,60023,60000
8918.lname,Dijktsra,Dijkstra
11474.city,JACKSONVpILLE,JACKSONVILLE
319.gender,***,M
14307.salary,55074,55000
963.lname,Andi,Adi
16234.haschild,sN,N
9546.singleexemp,4535,4500
18724.gender,***,M
3638.state,O,CO
359.phone,529z-7308,529-7308
10896.lname,Kreutzeyr,Kreutzer
3227.gender,qF,F
4313.rate,.3,5.3
9174.marriedexemp,73,0
19021.state,iNM,NM
19593.rate,.475,4.475
16711.lname,Kqogut,Kogut
15933.lname,berg,Aberg
1559.rate,39.,3.9
12236.childexemp,3351,3300
5656.marriedexemp,12099,12000
13951.rate,k2.2773614,2.2773614
7254.marriedexemp,2141,2080
9702.gender,iM,M
7315.marriedexemp,273,174
2207.marriedexemp,81,0
1800.maritalstatus,cM,M
14738.lname,bali,Abali
13040.singleexemp,17,0
7912.lname,losgen,Klosgen
6738.rate,575,5.75
19830.maritalstatus,sM,M
18378.marriedexemp,39,0
9528.singleexemp,18,0
4855.phone,39-1852,395-1852
19608.salary,55095,55000
17061.rate,7.58,7.85
5633.gender,***,F
4114.phone,714-477,714-4797
12715.childexemp,62,0
14166.salary,75068,75000
6751.rate,q7.8,7.8
5332.haschild,***,N
16417.gender,hF,F
2241.city,UTTON,SUTTON
10616.haschild,***,N
16439.gender,mM,M
15266.phone,3725997,372-5997
16734.salary,20006,20000
9705.state,L,FL
1673.phone,056-5126,506-5126
18967.childexemp,46,0
13429.state,CD,DC
18899.phone,23-73902,237-3902
1699.phone,114-5714,114-7514
1319.state,sMD,MD
18479.marriedexemp,77,0
19759.marriedexemp,78,0
13229.gender,,M
230.gender,,M
2740.maritalstatus,xM,M
16898.haschild,,N
10564.phone,752-9621,752-9612
11034.singleexemp,50,0
13822.salary,30055,30000
6052.maritalstatus,,S
971.lname,Miemura,Minemura
4443.singleexemp,5,0
15417.salary,40009,40000
12173.haschild,,N
11609.phone,860-2h038,860-2038
13398.singleexemp,1081,1000
4137.haschild,***,Y
5024.lname,Skhlar,Shklar
17739.maritalstatus,,S
317.marriedexemp,86,0
15821.phone,7482-121,748-2121
8821.state,D,SD
7956.city,MLIN,AMLIN
16855.gender,eM,M
7983.phone,797-6484,797-4684
1444.haschild,***,N
5567.gender,,F
3742.city,MOYIE SPRNIGS,MOYIE SPRINGS
1412.salary,75096,75000
13206.haschild,,N
10603.gender,***,M
16024.phone,38-4968,383-4968
12804.city,GOSEHN,GOSHEN
12294.state,OC,CO
14678.state,TM,MT
1638.maritalstatus,,S
19526.gender,nM,M
5674.phone,948q-1826,948-1826
2900.maritalstatus,,M
15384.haschild,,Y
19590.state,EM,ME
14764.salary,25096,25000
10801.marriedexemp,6662,6600
1285.city,LAS VEGSA,LAS VEGAS
7738.phone,884-824x2,884-8242
14060.childexemp,34,0
4229.city,SIERRAVISTA,SIERRA VISTA
11875.rate,,0
19941.marriedexemp,43,0
9742.rate,,7
18127.rate,2.4251m041,2.4251041
19736.gender,***,M
3949.salary,80034,80000
10461.salary,100087,100000
13437.singleexemp,3379,3300
8608.gender,mM,M
17364.haschild,,N
16211.singleexemp,28,0
9706.maritalstatus,dM,M
13615.lname,Manee,Macnee
6024.gender,,M
6103.phone,988-8957***,988-8957
6467.marriedexemp,230,220
15137.singleexemp,69,0
4873.rate,i0,0
2201.rate,x5,5
17127.phone,507-a9755,507-9755
8461.singleexemp,2254,2250
14355.childexemp,964,900
19780.singleexemp,3365,3300
5738.childexemp,91,0
5938.lname,Bbattaglin,Battaglin
11643.haschild,***,Y
3716.lname,Milbemrg,Milberg
1110.state,EN,NE
3038.maritalstatus,***,S
3098.salary,70053,70000
18704.childexemp,2364,2300
15622.phone,608-6467,608-4667
67.rate,1.7942780,1.7942708
4358.marriedexemp,2784,2740
19753.childexemp,904,900
6505.lname,Oezri,Ozeri
14648.state,VyA,VA
16486.rate,59.5,5.95
8580.haschild,,Y
9909.lname,Szgenda,Szygenda
8376.gender,zF,F
8916.state,D,MD
4766.lname,Bselt,Belt
8059.phone,62-78345,627-8345
6669.rate,w3.1799998,3.1799998
18429.lname,Kabatiaski,Kabatianski
12771.lname,Gerushon,Gershon
3006.singleexemp,188,159
2538.rate,65.,6.5
17178.gender,,M
11782.rate,***,0
18846.haschild,***,Y
17438.lname,Czkapiewski,Czapiewski
2357.haschild,oY,Y
12852.gender,***,F
2377.salary,10036,10000
792.childexemp,80,0
14557.lname,riyoshi,Ariyoshi
10526.state,S,MS
6269.city,WILLIAtMSTON,WILLIAMSTON
8387.gender,rF,F
1371.maritalstatus,,M
115.haschild,***,Y
6432.rate,f6.45,6.45
8208.city,HOCEKSSIN,HOCKESSIN
1027.maritalstatus,,M
17698.maritalstatus,***,M
7364.phone,275-9980,275-9908
19266.gender,,F
9629.salary,35069,35000
9228.city,ARVDA,ARVADA
2361.maritalstatus,,S
5742.state,V,WV
9633.phone,98-1240,981-1240
14914.lname,Scain,Schain
5892.city,ALENCIA,VALENCIA
18233.rate,,5
2082.rate,4.7399067,4.7939067
5726.maritalstatus,iM,M
4820.salary,25024,25000
1517.city,GyRAPEVINE,GRAPEVINE
7666.phone,543c-1903,543-1903
15285.marriedexemp,4287,4200
19914.lname,Stejinparz,Steinparz
8225.rate,***,7
16722.haschild,,Y
16299.lname,Ushter,Usher
18019.singleexemp,79,20
3746.rate,.3,5.3
17104.marriedexemp,2141,2080
3543.gender,eM,M
11663.state,MkT,MT
13235.rate,***,0
19511.rate,***,6
6995.salary,60086,60000
2606.haschild,,Y
6529.state,AC,CA
2725.marriedexemp,2050,2000
18131.marriedexemp,6270,6200
2001.rate,6.54,6.45
1090.phone,329m-7611,329-7611
1316.rate,8i.25,8.25
10179.singleexemp,4536,4500
5669.gender,eM,M
6492.phone,09-5577,809-5577
5522.state,MqO,MO
9195.childexemp,2037,2000
11088.city,CLdEMENTS,CLEMENTS
3983.childexemp,190,110
8147.salary,100082,100000
1136.gender,,M
9344.rate,,0
504.rate,8.89,8.98
