196399.city,SPRIGVILLE,SPRINGVILLE
192808.singleexemp,,0
5260.childexemp,t1370,1370
49640.phone,443-5616,443-5661
199545.zip,72744***,72744
40651.areacode,4a32,432
162194.singleexemp,***,0
192130.lname,Schlabch,Schlabach
5682.gender,,F
6950.gender,***,F
46542.city,SeABANA GRANDE,SABANA GRANDE
167287.phone,84-6873,804-6873
5871.state,C,DC
104655.gender,,M
143842.areacode,321,312
20160.areacode,431,413
130227.singleexemp,***,0
39320.marriedexemp,n0,0
77769.childexemp,v0,0
83061.state,WrY,WY
4021.gender,***,F
2891.gender,,F
108067.singleexemp,,0
196587.maritalstatus,,S
52864.state,DnC,DC
181123.city,ARLINGTON HEGIHTS,ARLINGTON HEIGHTS
127631.salary,500m0,5000
87547.city,NSON,ANSON
51255.city,ONTCLAIR,MONTCLAIR
156446.rate,.75,5.75
37554.maritalstatus,***,M
179388.singleexemp,,0
25344.singleexemp,i900,900
47053.areacode,08,208
75223.singleexemp,***,0
121744.fname,Narisingh,Narsingh
66215.zip,8322,83272
94466.gender,***,M
125261.maritalstatus,,S
15618.maritalstatus,***,S
126019.state,O,MO
47349.zip,87043,87034
17212.singleexemp,***,0
138941.state,CD,DC
68918.city,SHIRLEY MILS,SHIRLEY MILLS
26412.childexemp,,0
25528.maritalstatus,rM,M
54786.city,ANNISOTN,ANNISTON
191484.marriedexemp,***,0
79292.state,CD,DC
86501.singleexemp,***,0
112489.maritalstatus,,M
131776.singleexemp,02,20
62991.maritalstatus,***,M
183400.marriedexemp,***,0
192020.city,fARARAT,ARARAT
113012.phone,624-t4929,624-4929
2699.childexemp,***,0
13509.state,CS,SC
154449.state,DuC,DC
94478.gender,***,M
130509.state,HN,NH
32046.state,kAR,AR
77517.city,MILBNAK,MILBANK
113536.state,DeC,DC
167664.fname,Tamra,Tamar
188484.phone,351-565,351-8565
138160.state,AwL,AL
139762.childexemp,,0
17766.maritalstatus,tS,S
55108.city,IPAoVA,IPAVA
113512.maritalstatus,tS,S
37647.zip,99023,99032
153795.singleexemp,,0
152526.marriedexemp,z0,0
129192.haschild,***,N
179395.singleexemp,k0,0
108931.childexemp,,0
178811.childexemp,o0,0
46072.state,PdA,PA
187690.areacode,81i8,818
63371.rate,k0.0,0.0
183369.childexemp,j0,0
94376.rate,0.n0,0.0
107484.fname,Marlide,Marilde
87417.state,LA,AL
673.gender,qF,F
148613.gender,uF,F
96226.marriedexemp,***,0
38553.haschild,lN,N
26370.zip,7080,74080
132124.phone,911-30n66,911-3066
76683.lname,Larba,Larab
152562.marriedexemp,***,0
35003.state,NM,MN
30920.zip,8876***,8876
7380.phone,92-3630,925-3630
132173.haschild,***,N
34386.singleexemp,300,3300
165913.salary,80m000,80000
197628.marriedexemp,6600***,6600
57294.state,C,DC
49677.rate,78.75,7.875
19448.singleexemp,000,2000
88342.city,EDLL RAPIDS,DELL RAPIDS
77637.lname,Zeadahlly,Zeadally
74326.rate,00,0.0
2249.gender,***,F
135232.maritalstatus,***,M
95659.state,RP,PR
194157.childexemp,,0
106497.marriedexemp,,0
189628.fname,Yaruo,Yarou
137504.singleexemp,***,0
59840.childexemp,***,0
87574.singleexemp,a0,0
82953.city,ARPAAHO,ARAPAHO
86618.childexemp,,0
101525.childexemp,***,0
10873.marriedexemp,***,0
36204.haschild,***,N
187105.city,TUCSN,TUCSON
149508.zip,83340***,83340
167566.marriedexemp,3080,3800
42908.gender,,M
101843.fname,uai,Luai
76721.singleexemp,w0,0
83039.phone,921-6i035,921-6035
69146.salary,5000,55000
144370.maritalstatus,iM,M
74546.state,L,AL
104801.childexemp,p0,0
118108.city,ARLNIGTON,ARLINGTON
160797.city,AMISrTAD,AMISTAD
189095.city,ANCHORAE,ANCHORAGE
72408.singleexemp,l0,0
15206.areacode,704,740
157830.city,ARCAIA,ARCADIA
96947.state,qNY,NY
3138.city,ALAMANCA,SALAMANCA
12775.lname,Tanidma,Tanida
6718.state,CD,DC
193782.phone,819-375,819-3785
67596.maritalstatus,xM,M
47680.rate,h0.0,0.0
77183.city,JACKSfON,JACKSON
55839.salary,9u5000,95000
17718.lname,eyers,Heyers
94338.salary,5000,15000
189005.singleexemp,000,2000
95975.haschild,oN,N
105439.marriedexemp,,0
133955.maritalstatus,***,M
12889.maritalstatus,pS,S
114105.city,LhARKSPUR,LARKSPUR
178561.childexemp,,0
86580.childexemp,k0,0
121309.marriedexemp,450,4500
16813.fname,Bazilely,Baziley
18307.childexemp,,0
80341.marriedexemp,s0,0
103176.state,S,MS
115535.salary,s5000,5000
186870.city,gASHLEY,ASHLEY
188887.state,L,AL
64251.fname,Huichum,Hichum
31227.singleexemp,,0
37738.singleexemp,,0
139279.phone,q315-9272,315-9272
105711.state,IM,MI
134769.lname,Polirciti,Policriti
157850.maritalstatus,***,M
53484.singleexemp,q0,0
51741.lname,fMurai,Murai
693.gender,sF,F
195920.singleexemp,***,0
66100.city,RAABI,ARABI
197865.childexemp,***,0
197146.city,ALTAMONTE SPoRINGS,ALTAMONTE SPRINGS
114605.state,OM,MO
126292.gender,qM,M
85057.rate,9.a3,9.3
10308.gender,,M
142278.childexemp,g0,0
129056.singleexemp,,0
43296.marriedexemp,,0
75150.zip,v21205,21205
4182.state,CD,DC
167745.marriedexemp,w0,0
180525.state,aAL,AL
47843.singleexemp,***,0
71305.childexemp,,0
45880.zip,7042,37042
55193.areacode,c812,812
13671.lname,Stmredney,Stredney
198115.haschild,***,N
1807.gender,***,F
190515.haschild,***,Y
198577.rate,2.111111l2,2.1111112
145254.singleexemp,d0,0
32314.fname,Damanxjit,Damanjit
168361.zip,8518,85318
168549.fname,Tausya,Tasuya
103246.singleexemp,***,0
126882.state,LA,AL
51124.maritalstatus,qM,M
198003.maritalstatus,***,M
97267.fname,eandro,Leandro
92685.state,LA,AL
86165.childexemp,b0,0
145000.childexemp,31w00,3100
128166.city,DOVERA FB,DOVER AFB
177000.city,ANCHORAE,ANCHORAGE
189053.marriedexemp,y0,0
177352.city,ELBERlT,ELBERT
63479.gender,,M
142954.fname,Rodiorn,Rodion
66057.singleexemp,h0,0
121271.maritalstatus,***,S
77012.maritalstatus,,M
162327.singleexemp,***,0
48187.maritalstatus,***,S
51818.zip,55797,55779
198438.state,NpJ,NJ
163620.childexemp,***,0
120812.singleexemp,o0,0
73661.haschild,***,N
77532.state,AnL,AL
112058.marriedexemp,a0,0
62954.phone,761-7361,761-3761
125751.city,ARADA,ARVADA
199771.state,L,AL
172304.childexemp,w0,0
185029.childexemp,***,0
161254.marriedexemp,***,0
59154.marriedexemp,***,0
64705.childexemp,1730,1370
72903.phone,2w88-5793,288-5793
70993.state,LA,AL
64980.marriedexemp,,0
167213.phone,898-d8109,898-8109
22531.zip,88522,88252
65516.zip,9680,96810
109260.gender,cF,F
198516.singleexemp,***,0
105722.fname,kManish,Manish
157631.marriedexemp,l0,0
129038.state,LA,AL
19696.state,CD,DC
85254.maritalstatus,xM,M
195196.rate,00.,0.0
56394.gender,wF,F
102348.areacode,3l30,330
5914.gender,,F
108245.singleexemp,,0
14736.state,C,DC
82610.city,FRAMINGTON,FARMINGTON
101290.city,IMPERIL,IMPERIAL
116111.singleexemp,***,0
39775.singleexemp,e0,0
104687.lname,Harragn,Harrang
119226.marriedexemp,,0
124982.childexemp,***,0
164865.marriedexemp,,0
84968.marriedexemp,420j0,4200
172166.state,yIN,IN
183873.state,RA,AR
180319.marriedexemp,,0
78350.rate,.0,9.0
27645.fname,Chiong,Chihong
79810.singleexemp,j0,0
122462.phone,446-4761,464-4761
165006.marriedexemp,2400,4200
39111.marriedexemp,k0,0
87780.marriedexemp,***,0
142447.gender,,F
145759.state,RA,AR
24289.childexemp,v0,0
161108.gender,***,M
2041.gender,,F
165471.childexemp,i0,0
60184.salary,2x0000,20000
31050.singleexemp,,0
67340.childexemp,***,0
45970.marriedexemp,***,0
102767.rate,.9,3.9
167632.singleexemp,,0
71823.fname,Irs''hak***,Irs''hak
133457.areacode,60d6,606
149056.phone,799-19s81,799-1981
196996.city,SPIqRO,SPIRO
154299.maritalstatus,yS,S
163636.maritalstatus,,S
182172.gender,,M
170925.haschild,***,Y
54919.childexemp,z0,0
48522.city,GiAS,GAS
184436.maritalstatus,,S
67183.childexemp,***,0
49986.haschild,,Y
163232.gender,,M
92046.state,AhL,AL
182819.state,L,AL
27999.phone,462-e5011,462-5011
37895.singleexemp,,0
737.gender,yF,F
100403.gender,rM,M
196325.singleexemp,285o0,2850
77617.phone,561-125,561-5125
38546.maritalstatus,,S
108202.state,cNY,NY
161514.rate,o7.7255244,7.7255244
161863.salary,a65000,65000
106752.maritalstatus,***,S
184771.gender,***,F
68656.phone,030-5401,300-5401
119314.childexemp,h0,0
16323.state,eMT,MT
92383.areacode,94,914
132407.childexemp,,0
37543.city,AARPAHOE,ARAPAHOE
34309.childexemp,p0,0
145440.fname,Rsuell,Rusell
175249.singleexemp,,0
169833.marriedexemp,e0,0
46343.lname,Hffman,Hoffman
120464.salary,15000***,15000
122655.singleexemp,***,0
113894.fname,Mikejl,Mikel
115438.zip,31953,39153
5551.gender,,F
194704.state,Y,WY
168182.singleexemp,2400***,2400
162809.areacode,055,505
35327.city,LTON,ALTON
105165.state,CD,DC
62278.zip,4s033,4033
186007.lname,Janouesk,Janousek
138853.marriedexemp,,0
183055.childexemp,i0,0
175634.areacode,20p8,208
51048.haschild,***,N
199309.marriedexemp,i0,0
22377.salary,5000,15000
97036.phone,38o9-2102,389-2102
38716.state,CD,DC
160628.maritalstatus,***,M
153457.childexemp,w0,0
87958.state,AvL,AL
154119.areacode,820,802
191852.marriedexemp,***,0
194118.marriedexemp,t0,0
61083.state,AkL,AL
51312.state,E,ME
51607.salary,5500,55000
57245.city,PTTSTOWN,POTTSTOWN
154863.zip,46016,64016
66010.childexemp,,0
37952.rate,t3.07,3.07
153816.lname,McClrg,McClurg
101098.singleexemp,3755,3575
110834.singleexemp,***,0
124670.marriedexemp,,0
117092.city,ALBUQoUERQUE,ALBUQUERQUE
126474.childexemp,***,0
40316.zip,9626,59626
65755.haschild,,N
48774.phone,868-7169,688-7169
24057.city,MONTCHANIaN,MONTCHANIN
11923.state,L,AL
110213.zip,3948,39478
177397.zip,7643,37643
191818.singleexemp,3100***,3100
147576.salary,85m000,85000
184556.state,R,AR
4782.gender,,F
184527.haschild,rY,Y
113142.state,LA,AL
58189.fname,Goqing,Guoqing
21469.maritalstatus,,S
113526.phone,37-8052,327-8052
92517.childexemp,k0,0
73407.rate,2m.1034775,2.1034775
160497.childexemp,i0,0
94572.singleexemp,c0,0
189210.childexemp,,0
8274.state,C,DC
116.lname,Giobbard,Gibbard
91743.gender,,M
143424.state,LA,AL
26240.maritalstatus,,S
24936.gender,,M
109119.state,AnL,AL
3041.city,BELGRADE LAEKS,BELGRADE LAKES
100607.maritalstatus,jM,M
7072.gender,,M
60251.fname,Halisna,Halina
129577.singleexemp,,0
77994.maritalstatus,vM,M
89963.city,PHOEhNIX,PHOENIX
136953.city,ANTHNO,ANTHON
140959.rate,0.r0,0.0
174610.state,NjJ,NJ
129521.lname,chiefer,Schiefer
43079.state,L,AL
126886.childexemp,***,0
96832.city,ALPIE,ALPINE
155049.singleexemp,n0,0
116213.phone,944y-4764,944-4764
180185.fname,Vidnton,Vinton
132334.rate,0.e0,0.0
117261.singleexemp,g20,20
125077.gender,,M
106905.lname,Twreloar,Treloar
93383.city,CORARL,CORRAL
65456.childexemp,***,0
122635.state,IsL,IL
184189.fname,Wijtnand,Wijnand
105973.lname,Rijsenbij,Rijsenbrij
157438.marriedexemp,s0,0
1638.gender,xF,F
59165.state,cKY,KY
18495.areacode,l775,775
147438.singleexemp,u0,0
193997.city,ANNISTnON,ANNISTON
122115.gender,***,M
190377.rate,q7.875,7.875
98443.lname,Swik,Swick
47571.lname,Canpea,Canepa
80522.marriedexemp,c0,0
171683.phone,80-4555,809-4555
99777.salary,20000***,20000
25666.areacode,18,318
143844.zip,46545,46554
115329.salary,800y00,80000
11326.lname,rUpani,Urpani
72210.state,RA,AR
23403.areacode,30r5,305
95254.lname,Bdisiere,Bisiere
178855.haschild,,N
152987.childexemp,r0,0
103421.maritalstatus,fS,S
22081.singleexemp,1h500,1500
53639.childexemp,0,20
17428.haschild,,N
138366.childexemp,,0
180632.singleexemp,i0,0
40020.city,MIsNNEAPOLIS,MINNEAPOLIS
54868.areacode,340,304
6420.gender,hF,F
56496.rate,.0,0.0
103474.childexemp,,0
134740.state,AzR,AR
164922.city,POPLRA,POPLAR
94111.state,DM,MD
193948.zip,50d81,5081
148285.childexemp,m900,900
179612.gender,fF,F
41213.state,AiL,AL
3794.marriedexemp,6600***,6600
32651.singleexemp,300,3300
61325.phone,15-9519,156-9519
164676.childexemp,***,0
182109.childexemp,1m040,1040
181436.state,AM,MA
120324.city,ASHEVILE,ASHEVILLE
15044.marriedexemp,,0
175547.areacode,30h4,304
176177.singleexemp,x0,0
113245.areacode,g406,406
129645.phone,03-8911,303-8911
59164.gender,***,M
156619.lname,Bimel,Beimel
117533.state,L,AL
170628.lname,ohberg,Hohberg
115193.singleexemp,,0
25408.childexemp,***,0
46432.childexemp,a1000,1000
128531.rate,.75,5.75
160963.salary,8500,85000
146313.singleexemp,***,0
125645.state,CD,DC
6450.gender,oF,F
36610.marriedexemp,74,174
154636.city,WEST BOYLSTNO,WEST BOYLSTON
139194.phone,535-997,535-9897
126056.state,zAL,AL
6935.gender,nF,F
70590.childexemp,,0
190313.lname,Brunwt,Brunt
118631.city,ASHEVlILLE,ASHEVILLE
119537.singleexemp,***,0
176822.lname,Gugino,Guggino
119980.zip,85z046,85046
155397.zip,j55332,55332
5627.gender,,F
99635.haschild,***,N
85989.phone,981j-6501,981-6501
4237.zip,7035a6,70356
163908.city,NORTH AUGUTSA,NORTH AUGUSTA
125395.zip,22f192,22192
83976.city,WoALPOLE,WALPOLE
173186.childexemp,,0
2141.childexemp,***,0
1318.gender,,F
133805.zip,4602,46082
49112.singleexemp,k0,0
192780.maritalstatus,,S
141160.lname,Cshattergy,Chattergy
90467.marriedexemp,***,0
109734.state,LA,AL
153959.rate,00.,0.0
125940.zip,3d7863,37863
66358.salary,50c00,5000
25205.city,BUORD,BUFORD
94545.state,DpC,DC
22008.maritalstatus,,S
43741.city,STARUTP,STARTUP
102307.singleexemp,t0,0
42549.marriedexemp,,0
86017.gender,,F
165427.state,KwS,KS
184442.state,NkH,NH
153981.state,AP,PA
6186.city,FREINDSHIP,FRIENDSHIP
6430.gender,fF,F
48940.gender,jF,F
117609.state,C,DC
22775.marriedexemp,***,0
160507.state,AM,MA
60582.fname,anene,Hanene
83768.marriedexemp,***,0
147262.lname,ghili,Aghili
26659.rate,g7.0,7.0
191357.marriedexemp,,0
99559.areacode,2y56,256
171566.city,APACEH,APACHE
100566.state,LA,AL
89769.zip,43227,42327
181726.state,K,OK
171207.marriedexemp,,0
114567.state,yMA,MA
115577.state,tDC,DC
26074.haschild,***,Y
188033.zip,66160,66610
114983.singleexemp,,0
110812.city,MIFORD,MILFORD
164496.singleexemp,***,0
97726.haschild,***,N
55710.singleexemp,***,0
8418.gender,,F
129152.state,C,DC
43491.gender,,F
134807.state,LA,AL
4175.phone,980-6776,980-7676
177325.city,AHSTON,ASHTON
129955.phone,26-9950,126-9950
113914.fname,Miey,Mikey
90298.marriedexemp,x0,0
97201.areacode,89,859
72526.marriedexemp,,0
151334.childexemp,,0
23843.marriedexemp,***,0
47528.childexemp,d0,0
130885.haschild,,N
144874.state,JN,NJ
28346.city,ANSAS CITY,KANSAS CITY
85680.marriedexemp,,0
46332.phone,323-e8240,323-8240
135507.city,eBRIGHTON,BRIGHTON
173604.fname,Toshihearu,Toshiharu
166315.haschild,***,Y
168952.childexemp,,0
126349.areacode,032,302
193377.city,EASTw BOOTHBAY,EAST BOOTHBAY
52637.phone,42-7970,342-7970
29380.singleexemp,m0,0
192350.haschild,nY,Y
94711.haschild,,Y
121931.lname,Veccih,Vecchi
85936.childexemp,,0
35835.marriedexemp,x6600,6600
106154.zip,3q0911,30911
76494.state,AvR,AR
55264.phone,5334318,533-4318
64873.gender,***,F
14704.phone,8553-313,855-3313
127952.singleexemp,n0,0
126253.state,AlR,AR
74668.salary,250q00,25000
82706.phone,331-360d6,331-3606
121287.gender,bM,M
74534.gender,,M
140649.salary,7500,75000
124646.state,C,DC
15369.maritalstatus,***,M
67429.zip,6608h6,66086
10741.state,KA,AK
165250.childexemp,,0
155942.state,cND,ND
74027.maritalstatus,,M
80150.singleexemp,00,700
67125.childexemp,9m00,900
17310.state,CD,DC
189402.state,MuI,MI
38088.fname,Doar,Dora
73602.state,C,DC
110791.areacode,2q70,270
119545.city,ANCHROAGE,ANCHORAGE
156428.lname,Escrba,Escriba
2109.gender,,F
188047.haschild,,Y
98225.state,C,DC
13660.phone,74-01813,740-1813
150314.marriedexemp,q0,0
26526.state,CD,DC
155457.haschild,***,N
195955.fname,Ynun,Yunn
165963.fname,Slyvia,Sylvia
172901.marriedexemp,***,0
145101.lname,Kubiatwoicz,Kubiatowicz
1137.gender,***,F
157574.lname,Deimzu,Demizu
153391.state,CD,DC
113232.rate,50,5.0
147854.childexemp,,0
18566.rate,.0,5.0
95355.phone,4527-524,452-7524
75987.city,AMEeRY,AMERY
82617.haschild,,N
141829.fname,Ryia,Ria
3140.gender,,F
16212.fname,arradas,Barradas
71878.state,L,AL
94483.phone,8034-282,803-4282
183032.state,LA,AL
89752.state,R,AR
8741.zip,80295,80259
154570.rate,70.,7.0
122036.maritalstatus,kM,M
153827.state,JN,NJ
162246.rate,.0,0.0
188733.state,AV,VA
172519.state,J,NJ
18159.phone,7491-420,749-1420
48529.city,ANCOHRAGE,ANCHORAGE
36271.lname,Bak,Baek
180283.childexemp,,0
73519.city,ObMAHA,OMAHA
64091.state,xDC,DC
163884.childexemp,,0
116954.singleexemp,***,0
131202.gender,,M
160683.state,JN,NJ
99803.city,SANOSETE,SANOSTEE
31972.phone,377-43i75,377-4375
12273.phone,74-2044,734-2044
88534.salary,800y00,80000
173664.areacode,02,802
106954.gender,***,M
4257.gender,qF,F
79385.areacode,d952,952
102714.singleexemp,***,0
130253.city,WYACROSS,WAYCROSS
11349.marriedexemp,***,0
118339.city,TCSON,TUCSON
113799.childexemp,,0
187437.salary,03000,30000
173353.zip,5y9406,59406
144375.haschild,,Y
61869.areacode,831,813
66894.state,NyJ,NJ
129417.state,C,DC
167837.lname,Nozikc,Nozick
1256.gender,***,F
179042.salary,09000,90000
176217.salary,10000,100000
104107.maritalstatus,zM,M
105992.marriedexemp,z0,0
79209.singleexemp,2010,2100
6461.gender,***,F
89741.childexemp,190,1900
21740.areacode,32,312
43555.singleexemp,***,0
168884.areacode,40q1,401
167144.haschild,,N
143337.maritalstatus,iS,S
189207.state,D,SD
136186.lname,Zmlin,Zemlin
126576.areacode,51,351
38504.lname,gAi,Agi
107536.gender,***,M
29012.state,gNY,NY
58816.salary,65000***,65000
94322.singleexemp,***,0
184869.phone,10m8-8700,108-8700
155950.state,L,AL
132223.childexemp,o0,0
26400.haschild,***,Y
124580.marriedexemp,,0
109248.singleexemp,,0
160136.areacode,393,339
32607.zip,4615,46125
42287.state,NI,IN
62615.gender,fM,M
649.zip,472z34,47234
188415.salary,9j0000,90000
140462.singleexemp,***,0
190879.childexemp,***,0
145365.zip,60420,60402
7429.gender,***,F
130747.state,CD,DC
16912.maritalstatus,fS,S
166941.fname,Takkazu,Takakazu
76554.phone,990-x4694,990-4694
148194.state,DbC,DC
131211.areacode,225,252
172616.city,ARLIGTON,ARLINGTON
7923.gender,uF,F
78215.areacode,650,605
43554.salary,55000***,55000
41339.gender,***,M
79265.haschild,gN,N
40317.gender,,M
31258.city,TUSCARRA,TUSCARORA
83080.singleexemp,***,0
98840.childexemp,,0
16418.marriedexemp,w0,0
136761.childexemp,300,3300
486.gender,yF,F
14449.marriedexemp,,0
51041.singleexemp,***,0
115059.marriedexemp,,0
72324.childexemp,,0
149882.maritalstatus,fM,M
81044.areacode,03,203
8751.state,R,AR
139884.salary,35c000,35000
57763.maritalstatus,***,S
117733.marriedexemp,***,0
125055.marriedexemp,,0
80198.marriedexemp,v0,0
6107.gender,***,F
127155.childexemp,d0,0
108880.childexemp,,0
188440.marriedexemp,y0,0
4538.gender,jF,F
54771.fname,Gulia,Giulia
146520.state,LA,AL
110615.salary,15000***,15000
120302.childexemp,d0,0
78015.salary,58000,85000
184284.salary,45000***,45000
37735.marriedexemp,y0,0
159672.haschild,***,Y
181068.maritalstatus,***,M
98198.state,FgL,FL
79461.maritalstatus,bM,M
163481.zip,29313,29133
154357.city,ARTHRU,ARTHUR
126014.areacode,071,701
6758.gender,,F
26672.areacode,410,401
54063.phone,700-770,700-7670
172670.city,ANEHT,ANETH
109817.salary,95000***,95000
1475.state,CD,DC
6857.haschild,oY,Y
199093.state,A,GA
6421.gender,sF,F
196937.lname,adous,Fadous
178452.areacode,220,202
118507.singleexemp,g0,0
117629.areacode,v605,605
28490.haschild,,N
101277.salary,58000,85000
142143.city,ASHLEY FpALLS,ASHLEY FALLS
57425.state,R,AR
25944.childexemp,m0,0
14594.salary,59000,95000
137486.city,ALgTO,ALTO
167940.singleexemp,,0
101356.state,EN,NE
131722.singleexemp,w0,0
127334.singleexemp,q0,0
13545.childexemp,***,0
143284.state,DuC,DC
96078.gender,vM,M
30091.areacode,34,234
101422.phone,48-1398,248-1398
144670.city,rANETH,ANETH
194702.singleexemp,f0,0
178982.maritalstatus,***,S
7874.singleexemp,1307,1370
67682.salary,o90000,90000
82280.areacode,027,207
101272.city,ALPOLE,WALPOLE
146817.gender,***,M
128553.state,AoL,AL
109402.lname,Weickre,Weicker
71752.haschild,***,N
1337.gender,***,F
188768.phone,366-9244***,366-9244
94749.haschild,,Y
31079.lname,Erze,Erez
5550.gender,***,F
40128.salary,z15000,15000
41418.haschild,yN,N
77942.state,AuL,AL
47497.childexemp,***,0
117195.singleexemp,,0
49723.state,JN,NJ
153071.state,DN,ND
61881.fname,Hauaki,Haruaki
28458.childexemp,***,0
84338.lname,anka,Ranka
153069.childexemp,1a000,1000
24356.singleexemp,,0
104945.maritalstatus,,S
141959.singleexemp,,0
128384.lname,ngel,Angel
147667.gender,zM,M
196692.marriedexemp,,0
142543.childexemp,***,0
142672.singleexemp,x0,0
24966.areacode,6h41,641
168885.marriedexemp,,0
186927.singleexemp,2457,2475
199220.haschild,,Y
66039.marriedexemp,6600***,6600
82527.maritalstatus,***,S
185923.fname,iahua,Xiahua
147264.city,RBOOKVILLE,BROOKVILLE
155336.state,dAL,AL
119610.state,L,FL
189386.state,lAL,AL
59182.state,uMO,MO
152360.city,ARLINGzTON,ARLINGTON
5074.gender,,F
154365.state,R,AR
115133.state,L,AL
31182.lname,Moiluanen,Moilanen
10002.state,CD,DC
23163.zip,387l2,3872
192397.city,AHSER,ASHER
9780.areacode,15,515
1338.gender,,F
24730.city,ASLHAND,ASHLAND
113395.city,DzUNLO,DUNLO
81008.marriedexemp,,0
42977.singleexemp,2q0,20
959.gender,wF,F
92408.singleexemp,z0,0
64842.singleexemp,,0
132905.childexemp,,0
193519.state,LA,AL
112224.childexemp,,0
129239.marriedexemp,h0,0
64633.maritalstatus,***,S
44371.fname,Etenne,Etienne
139469.haschild,,Y
143060.city,ANTIMOY,ANTIMONY
169707.haschild,,N
125323.gender,,F
61361.areacode,497,479
43925.lname,Eichlstaedt,Eichstaedt
131846.fname,Perta,Petra
53836.gender,,F
10715.maritalstatus,***,S
196735.maritalstatus,tS,S
48669.maritalstatus,,M
165374.rate,00,0.0
83896.maritalstatus,rS,S
160985.city,GARNETT***,GARNETT
146533.marriedexemp,40v00,4000
123098.marriedexemp,b0,0
46838.childexemp,0200,2000
8139.singleexemp,***,0
182732.fname,Weiijng,Weijing
43932.haschild,***,Y
85029.areacode,723,732
125153.zip,t28742,28742
191992.lname,Hodeg,Hodge
114080.state,CD,DC
48353.singleexemp,101,110
171043.salary,5000,50000
43409.areacode,m301,301
192467.state,PwA,PA
41999.gender,rF,F
181460.haschild,,N
82905.singleexemp,,0
163480.rate,2.821054,2.8421054
93942.phone,8g09-8322,809-8322
11849.marriedexemp,,0
190000.haschild,,Y
194282.singleexemp,***,0
148795.zip,4141,54141
38250.gender,***,F
44607.state,OM,MO
158650.marriedexemp,o0,0
95194.state,aDC,DC
168772.rate,53.151608,5.3151608
124608.state,CD,DC
53716.areacode,n412,412
150032.marriedexemp,,0
41455.phone,507-6599,570-6599
113763.city,ANN AROR,ANN ARBOR
23442.city,ASHBRUN,ASHBURN
21773.areacode,508,580
192876.maritalstatus,rS,S
13171.areacode,31g4,314
46593.marriedexemp,w0,0
116653.zip,80497,84097
129625.zip,53197,53179
85318.state,R,AR
146144.city,FRNKLIN,FRANKLIN
24484.childexemp,,0
177363.city,APPETON,APPLETON
134867.areacode,3n12,312
198123.city,ANACODNA,ANACONDA
186478.lname,Cantyu,Cantu
184425.fname,fWiliam,Wiliam
72350.childexemp,***,0
129899.singleexemp,,0
172487.gender,***,M
186661.rate,r0.0,0.0
158693.childexemp,***,0
167016.marriedexemp,h0,0
141201.rate,00,0.0
5017.singleexemp,i2000,2000
162383.marriedexemp,a0,0
71831.singleexemp,,0
186664.phone,582-266,582-2696
115363.state,HN,NH
60094.marriedexemp,,0
110640.salary,53000,35000
8211.childexemp,r0,0
62332.salary,5000,35000
115831.state,L,AL
36139.state,C,DC
194139.state,J,NJ
95169.areacode,3r02,302
7889.gender,kF,F
4945.gender,***,F
45764.singleexemp,***,0
124778.lname,Kroipf,Kropf
187739.childexemp,***,0
114115.marriedexemp,***,0
92089.childexemp,p0,0
9175.fname,Annete,Annette
141047.lname,Arnnette,Arnette
148418.rate,00.,0.0
139204.singleexemp,g0,0
182556.city,ATHEkNS,ATHENS
7011.gender,,F
10376.rate,.0,7.0
110850.city,ANCHOrRAGE,ANCHORAGE
150485.marriedexemp,***,0
180942.state,L,AL
156092.singleexemp,***,0
171342.marriedexemp,***,0
129431.marriedexemp,***,0
167394.zip,50877,58077
47825.maritalstatus,,S
110734.marriedexemp,,0
184434.fname,Wdilko,Wilko
91418.city,ANNAkPOLIS,ANNAPOLIS
164728.rate,45.,4.5
182554.zip,931,913
111861.zip,37t73,3773
18353.childexemp,***,0
148175.state,LA,AL
180680.rate,3.227273,3.2227273
100551.city,CbASHIERS,CASHIERS
14046.marriedexemp,,0
191680.salary,5000,15000
196867.lname,Moirllo,Morillo
15061.city,LANARwK,LANARK
15780.gender,***,M
106473.state,C,DC
34610.city,COEVILLE,COKEVILLE
156898.state,LA,AL
95226.haschild,***,Y
67446.rate,5.795394,5.7495394
44431.maritalstatus,,M
143281.salary,00000,100000
199536.singleexemp,,0
117718.city,MERDEN,MERIDEN
58756.childexemp,q0,0
111792.areacode,50,520
115714.zip,u74105,74105
188274.singleexemp,,0
94890.zip,46139,46319
123321.haschild,hY,Y
118099.city,MSTON,AMSTON
195312.zip,7039,7093
43846.city,AnNDERSON,ANDERSON
198347.city,PsONCE,PONCE
12209.city,ANHONY,ANTHONY
58482.haschild,gY,Y
109757.city,HzONOLULU,HONOLULU
186854.salary,20000***,20000
187241.gender,***,M
180869.childexemp,3170,1370
189233.marriedexemp,y0,0
16137.state,CD,DC
102531.state,PeR,PR
192009.childexemp,,0
73007.gender,***,F
122341.zip,744***,744
113949.state,J,NJ
92833.state,JN,NJ
116401.marriedexemp,140,1400
10681.childexemp,300,3300
194670.gender,***,M
153004.rate,6.q45,6.45
20961.singleexemp,,0
904.gender,iF,F
152176.salary,7500h0,75000
133155.state,RA,AR
89729.singleexemp,100g0,1000
98225.singleexemp,***,0
116420.state,C,DC
182273.haschild,***,N
76842.childexemp,***,0
169084.state,R,AR
