16916.lname,Messmre,Messmer
6194.state,D,ID
5922.state,D,ID
1789.haschild,lN,N
3588.marriedexemp,f0,0
5164.gender,***,M
9228.singleexemp,,0
15234.singleexemp,t0,0
16828.childexemp,p0,0
18654.childexemp,***,0
3908.fname,iHaldun,Haldun
5736.singleexemp,,0
7637.haschild,***,Y
3258.marriedexemp,k0,0
7650.phone,836-28w31,836-2831
5019.marriedexemp,n0,0
11978.gender,,F
14835.singleexemp,20f00,2000
12944.zip,20c554,20554
7656.state,CD,DC
186.rate,00.,0.0
1398.state,L,IL
14848.state,D,ID
10066.state,rID,ID
4524.state,H,OH
13541.zip,2z6287,26287
401.state,MxD,MD
13837.state,C,DC
14448.marriedexemp,,0
17795.zip,a59828,59828
17803.gender,jF,F
11832.phone,59-9289,459-9289
12149.lname,iBenaloh,Benaloh
3127.childexemp,***,0
6902.rate,.898,8.98
11111.childexemp,***,0
742.areacode,k208,208
5293.zip,8257,58257
7450.state,hDC,DC
16219.gender,,F
8189.gender,***,F
11187.childexemp,o0,0
11129.singleexemp,,0
6722.city,ACLVERT CITY,CALVERT CITY
3090.childexemp,,0
7138.zip,2688,26818
12036.areacode,77y0,770
6952.singleexemp,,0
18660.city,BIRMINHAM,BIRMINGHAM
6580.fname,oong,Soong
8942.city,BLApINE,BLAINE
17997.maritalstatus,bM,M
9074.phone,79-3862,798-3862
15773.gender,lF,F
17842.lname,Doushuo,Doushou
5778.lname,aRjlich,Rajlich
8877.city,VqANCOUVER,VANCOUVER
10489.rate,00.,0.0
7291.fname,aJykumar,Jaykumar
11257.lname,Jste,Juste
10723.city,WAIOLOA,WAIKOLOA
13979.childexemp,,0
11181.state,AM,MA
2819.singleexemp,,0
8608.areacode,460,406
14014.singleexemp,***,0
13167.state,CD,DC
18126.haschild,,N
7533.salary,10000,100000
3954.maritalstatus,iS,S
19223.childexemp,z0,0
18869.childexemp,,0
19812.state,D,ID
16112.haschild,,Y
18211.gender,***,M
4582.marriedexemp,***,0
10988.state,SeD,SD
11532.city,MAlSON,MASON
16933.lname,Hanoevr,Hanover
17198.salary,30000***,30000
6567.haschild,,N
5038.gender,qF,F
14193.gender,,M
5023.zip,43460,43406
19938.city,EULAH,BEULAH
12650.haschild,sN,N
8590.state,OC,CO
9645.gender,,F
14551.phone,510-3875,510-8375
5117.childexemp,,0
15113.phone,75u5-1110,755-1110
18625.zip,7g2584,72584
19373.marriedexemp,,0
9857.state,DdC,DC
10381.phone,173-373,173-1373
4713.zip,o48759,48759
1526.childexemp,g1040,1040
18339.haschild,eY,Y
6351.state,V,WV
5663.haschild,***,N
6926.lname,Gallivn,Gallivan
6351.zip,2m5113,25113
7128.salary,z20000,20000
7742.state,C,DC
11046.state,DI,ID
2059.phone,986-86d70,986-8670
18459.zip,852,8542
5508.zip,48846,48864
13858.state,DgC,DC
4453.maritalstatus,,M
4945.city,ROgY,ROY
16333.salary,01000,10000
3558.rate,78.,7.8
19694.fname,Katusmi,Katsumi
18120.gender,,F
13430.marriedexemp,***,0
15313.singleexemp,,0
9557.state,CD,DC
4379.haschild,,N
6706.childexemp,,0
11673.state,tDC,DC
8462.childexemp,***,0
7481.singleexemp,d0,0
15912.gender,,M
15636.singleexemp,2000***,2000
17463.state,ZA,AZ
10133.state,CD,DC
12935.childexemp,***,0
7284.zip,1326,81326
19195.rate,5x.0,5.0
10402.areacode,027,207
635.lname,Haylpin,Halpin
7149.marriedexemp,***,0
2486.state,I,RI
7859.haschild,,N
7735.haschild,uN,N
615.areacode,058,508
10168.state,DI,ID
18042.areacode,66a0,660
18007.childexemp,***,0
7642.city,TARIL,TRAIL
15381.singleexemp,,0
2240.salary,5000,25000
17440.fname,Cry,Cory
7975.areacode,046,406
16297.zip,59236,59263
1315.phone,920-9185,920-9158
10010.marriedexemp,***,0
14543.childexemp,300l0,3000
12165.childexemp,***,0
3764.lname,rGonowski,Gronowski
11860.childexemp,,0
19575.phone,15t8-7309,158-7309
17087.zip,216o55,21655
6393.marriedexemp,q0,0
757.haschild,***,N
13220.marriedexemp,,0
14573.phone,132-2815,123-2815
15520.state,kID,ID
9320.state,DI,ID
3367.childexemp,,0
10625.phone,18-9572,148-9572
3391.rate,3.222727z3,3.2227273
18622.rate,6.4,6.84
7968.state,C,DC
12700.gender,,F
3766.state,D,ID
17399.marriedexemp,b0,0
7941.fname,iMchee,Michee
19333.fname,Vviana,Viviana
19142.fname,Narasihma,Narasimha
6272.singleexemp,,0
19701.city,BNDURANT,BONDURANT
11581.marriedexemp,***,0
16679.gender,,F
6523.city,EBTHEL,BETHEL
12990.rate,.0,0.0
11328.rate,0.w0,0.0
18174.phone,948-9819,984-9819
14227.haschild,,N
4917.childexemp,u0,0
18647.fname,Betany,Bethany
4196.salary,30x000,30000
16334.state,L,IL
18551.state,D,ID
4667.areacode,63f0,630
11156.lname,Avriola,Ariola
7845.gender,mF,F
1614.lname,Knouma,Konuma
2122.rate,6.54,6.45
18329.rate,3.8655218,3.8655128
19310.areacode,y518,518
11659.areacode,83,803
14987.marriedexemp,***,0
14347.haschild,***,Y
12011.childexemp,,0
7002.salary,8500,85000
7976.fname,Velimri,Velimir
4864.singleexemp,g0,0
9848.state,D,ID
9237.gender,***,M
2337.rate,1.83125,1.873125
15232.gender,yF,F
16243.phone,406-2976,406-2796
13655.fname,Akiyosi,Akiyoshi
8901.childexemp,***,0
10992.childexemp,300,3300
10306.state,CD,DC
9910.areacode,36,316
10209.lname,Hiromidtsu,Hiromitsu
7150.state,CD,DC
11084.state,C,DC
16898.marriedexemp,***,0
19786.fname,Keuyn,Keyun
14848.city,BOIES,BOISE
14374.singleexemp,n0,0
15532.singleexemp,w0,0
1918.zip,59q434,59434
17694.marriedexemp,g0,0
14145.lname,Noonan***,Noonan
13422.lname,Zinojev,Zinovjev
19451.state,A,CA
18248.gender,qM,M
16075.phone,926-297o6,926-2976
3975.childexemp,,0
11046.gender,,F
3060.fname,Zifne,Zine
15900.areacode,6m51,651
4655.gender,xF,F
3691.state,KxY,KY
16620.city,BRIMINGHAM,BIRMINGHAM
10082.salary,5000,65000
12404.fname,Poornachandrsa,Poornachandra
18160.childexemp,,0
18210.city,ILLINGS,BILLINGS
1114.singleexemp,b0,0
6222.zip,94707,97407
5110.childexemp,r0,0
15109.areacode,54,754
1190.fname,Mgiuel,Miguel
8512.gender,***,M
5978.salary,50500,55000
12257.zip,1464h9,14649
5372.salary,3t5000,35000
3239.areacode,81x4,814
613.phone,387-85k78,387-8578
19495.areacode,39,339
17358.rate,.60,6.0
1506.marriedexemp,0200,2000
17259.city,RUFIN,RUFFIN
1901.phone,212-7712,212-7721
17430.fname,aPawel,Pawel
16241.singleexemp,195,159
16751.areacode,271,217
16305.childexemp,10r40,1040
19724.childexemp,,0
1590.haschild,***,N
19763.salary,3000b0,30000
17167.areacode,05,305
12755.childexemp,***,0
18538.gender,,F
13140.state,fDC,DC
17711.rate,4.183657,4.1853657
15128.singleexemp,q0,0
18791.fname,Cosmni,Cosmin
12838.childexemp,,0
8608.city,BILLmINGS,BILLINGS
2629.singleexemp,c0,0
17636.zip,33332***,33332
8440.state,DiC,DC
7313.rate,5.l3,5.3
12935.state,D,ID
9354.city,BOARMDAN,BOARDMAN
17124.city,BONE,BOONE
11871.singleexemp,***,0
1261.childexemp,090,900
10571.gender,,F
5055.marriedexemp,495k0,4950
16745.state,D,ID
12610.marriedexemp,***,0
19531.childexemp,,0
15267.gender,uM,M
11148.fname,YunoLng,YunLong
19277.childexemp,***,0
16904.fname,Hichm,Hichem
16579.childexemp,d0,0
19680.singleexemp,***,0
11943.city,BETHANY BACH,BETHANY BEACH
19376.haschild,,Y
13382.state,L,IL
1756.childexemp,03,103
15041.rate,5.e0,5.0
17723.maritalstatus,,M
17957.city,OISE,BOISE
1859.state,LrA,LA
5740.phone,369-a9900,369-9900
5181.marriedexemp,***,0
13687.phone,190-3e427,190-3427
2414.singleexemp,i0,0
8577.gender,dF,F
4278.salary,40500,45000
6623.marriedexemp,z0,0
10471.childexemp,***,0
8799.city,EPNNINGTON,PENNINGTON
15095.fname,aul,Paul
6834.rate,7d.0,7.0
17715.city,TAHLEQUHA,TAHLEQUAH
9720.childexemp,3300***,3300
9914.lname,ien,Bien
4394.singleexemp,k0,0
17328.childexemp,,0
9635.zip,9772,97712
6774.areacode,c704,704
19283.lname,Scehen,Scheen
7893.state,CD,DC
15477.singleexemp,250,2250
10546.gender,***,F
11625.salary,5500,55000
12635.salary,60000***,60000
2328.salary,65000***,65000
5792.childexemp,,0
13260.areacode,50h5,505
18371.city,MEASR,MEARS
8976.areacode,20a3,203
8505.zip,2779,27979
14569.city,oBEDFORD,BEDFORD
19254.haschild,,Y
10358.lname,Crescezi,Crescenzi
19416.childexemp,h0,0
13730.haschild,,N
7669.haschild,***,N
10499.state,RA,AR
8825.city,BONDUARNT,BONDURANT
11178.fname,Yufenlg,Yufeng
9288.city,STERING,STERLING
12955.zip,l58385,58385
9675.singleexemp,j0,0
5683.singleexemp,***,0
14649.rate,4.3881079,4.3881097
17650.gender,hF,F
14489.haschild,***,N
8449.childexemp,***,0
13551.maritalstatus,pS,S
19893.haschild,iN,N
11211.rate,.0,9.0
19397.lname,Grnsey,Garnsey
13436.state,ItD,ID
4988.haschild,,Y
16802.salary,10m000,10000
3809.childexemp,***,0
14568.marriedexemp,***,0
9964.state,DlC,DC
11347.childexemp,***,0
785.maritalstatus,***,M
6661.state,CD,DC
8666.city,FINEGR,FINGER
17586.city,NEWeARK,NEWARK
9061.state,CD,DC
3507.state,DI,ID
14599.singleexemp,3100,1300
10298.singleexemp,***,0
12394.state,IH,HI
3994.city,MYERSOWN,MYERSTOWN
7934.city,BENNjINGTON,BENNINGTON
11921.singleexemp,78,87
15730.state,DI,ID
13556.maritalstatus,***,M
5245.maritalstatus,***,S
12524.state,DI,ID
3056.haschild,,Y
26.lname,Stagers,Staggers
11528.state,wUT,UT
6188.gender,***,F
18332.rate,34.,3.4
15581.marriedexemp,***,0
7966.zip,66540,65640
13508.zip,6950,56950
13804.marriedexemp,k0,0
17793.marriedexemp,,0
10334.state,ZA,AZ
12331.phone,968-1209,968-1029
2769.singleexemp,,0
16271.phone,70-2718,370-2718
10433.marriedexemp,***,0
7753.singleexemp,***,0
12449.state,McS,MS
4389.state,CN,NC
404.areacode,p907,907
17274.rate,.3,5.3
19326.fname,Somkit,Somkiat
11520.gender,,M
19939.gender,yF,F
6040.childexemp,***,0
18056.gender,,M
4429.childexemp,n0,0
10953.zip,80392,80329
17793.childexemp,***,0
15022.singleexemp,,0
4079.areacode,344,434
3207.childexemp,***,0
1685.gender,,F
142.fname,Gadi,Gaid
762.lname,ogan,Hogan
9006.state,CD,DC
16487.city,BODURANT,BONDURANT
11029.singleexemp,q0,0
1284.lname,Eebrahimi,Ebrahimi
10264.state,C,DC
14232.haschild,***,N
8150.state,sDC,DC
5465.phone,6701824,670-1824
7648.rate,.0,0.0
16107.marriedexemp,y0,0
4857.maritalstatus,,M
549.maritalstatus,***,M
11679.singleexemp,i0,0
9536.city,LOWEpLL,LOWELL
3075.gender,,F
9886.areacode,01,401
1351.salary,1000,15000
13486.salary,45000***,45000
15955.areacode,298,928
16701.haschild,***,Y
13807.childexemp,c0,0
14163.singleexemp,,0
11606.state,LI,IL
2739.gender,tF,F
4351.gender,kM,M
4695.city,BALTMIORE,BALTIMORE
14355.marriedexemp,,0
6252.state,IhL,IL
1275.state,pTN,TN
12350.marriedexemp,e0,0
11087.areacode,01,301
10946.singleexemp,k0,0
14072.salary,35m000,35000
2239.lname,Geislre,Geisler
8454.fname,Tonianrn,Toniann
11391.city,nBILLINGS,BILLINGS
15613.marriedexemp,620f0,6200
16740.gender,rF,F
18612.childexemp,***,0
19806.marriedexemp,***,0
14989.marriedexemp,,0
12733.gender,***,F
15870.fname,Tuvla,Tuval
12549.state,AI,IA
13943.fname,Phyllsi,Phyllis
14011.areacode,028,208
10351.childexemp,k0,0
12106.state,C,DC
1422.maritalstatus,,S
19133.zip,30j346,30346
7474.childexemp,m0,0
17614.singleexemp,j0,0
9491.zip,40c48,4048
17870.singleexemp,,0
18323.childexemp,r0,0
14129.childexemp,40,400
5197.singleexemp,***,0
14263.lname,Barbur,Barbour
6751.state,D,ID
6235.phone,7543393,754-3393
10178.zip,9961,49961
68.city,PULAkSKI,PULASKI
3857.maritalstatus,***,M
15233.city,BSTON,BOSTON
6757.salary,15a000,15000
4180.zip,24762,24726
8736.gender,,F
3095.childexemp,300,3300
7701.rate,00,0.0
9917.marriedexemp,400,1400
10201.haschild,***,N
19172.singleexemp,***,0
18912.singleexemp,z0,0
14028.state,lNC,NC
13910.singleexemp,n0,0
12811.zip,2779,25779
18386.city,zBETHEL,BETHEL
15558.childexemp,120j0,1200
8422.city,aBOISE,BOISE
27.lname,Dwson,Dawson
15106.phone,660-4567***,660-4567
17880.rate,u6.0,6.0
17670.childexemp,,0
8273.singleexemp,,0
18493.singleexemp,j0,0
17063.lname,Ryne,Rayne
15180.singleexemp,a0,0
11846.areacode,64,864
8709.city,KAKAUNA,KAUKAUNA
1149.haschild,***,N
17592.city,SANTA nFE,SANTA FE
18025.salary,20000***,20000
15031.salary,2j0000,20000
10477.haschild,***,N
14044.marriedexemp,***,0
17192.fname,Rajjna,Rajjan
3294.city,HUNTINTGON,HUNTINGTON
17207.marriedexemp,***,0
10962.marriedexemp,h0,0
13729.gender,bM,M
13732.maritalstatus,zS,S
13107.state,D,ID
6662.lname,Palmoire,Palmore
17619.salary,55p000,55000
9030.childexemp,245,2475
16004.fname,Knogshi,Kongshi
18681.salary,v90000,90000
19355.areacode,270,207
17391.areacode,60m9,609
15378.marriedexemp,,0
18645.gender,qM,M
13259.state,LI,IL
1150.areacode,05,605
4590.maritalstatus,***,S
15753.gender,,F
3394.city,AWTERFORD,WATERFORD
7883.haschild,vY,Y
2730.lname,Ebbinhgaus,Ebbinghaus
14354.state,SM,MS
15067.rate,.0,0.0
13154.city,EBTHANY BEACH,BETHANY BEACH
13213.zip,9925,99125
529.salary,3500,35000
1232.maritalstatus,***,M
6225.salary,5000***,5000
12930.childexemp,u0,0
12522.lname,Neres,Nerjes
14506.state,IwD,ID
1322.zip,57q46,5746
15866.city,BIRMINGAHM,BIRMINGHAM
4863.haschild,,N
9417.rate,5.n3,5.3
7699.state,CD,DC
8403.state,C,DC
10264.childexemp,3170,1370
4170.marriedexemp,***,0
12775.childexemp,***,0
8154.marriedexemp,2000,12000
13363.city,HAWTHRONE,HAWTHORNE
13529.salary,5000,25000
19957.haschild,,Y
7600.city,BIRMInNGHAM,BIRMINGHAM
1629.haschild,,Y
1964.gender,,M
15830.singleexemp,a0,0
12865.phone,524-218,524-2188
10931.singleexemp,270,2700
16951.marriedexemp,,0
10536.lname,Colpignon,Colignon
18458.gender,,M
17680.areacode,796,769
19644.childexemp,l0,0
4955.zip,q6853,6853
15184.state,LF,FL
6015.city,BILLIGNS,BILLINGS
2605.maritalstatus,iM,M
19107.marriedexemp,***,0
4311.marriedexemp,120l00,12000
1496.singleexemp,r3300,3300
17732.state,Y,NY
10491.zip,5g2252,52252
7055.state,DS,SD
17257.salary,20000***,20000
884.state,AG,GA
4578.state,M,NM
15462.city,BIRMINGAHM,BIRMINGHAM
1107.gender,***,F
1459.state,T,UT
11633.gender,***,F
5150.rate,85.,8.5
16802.childexemp,d0,0
18997.phone,468-e4334,468-4334
9461.fname,Shaucih,Shauchi
9974.singleexemp,300,1300
15942.state,dNC,NC
9461.rate,c6.0,6.0
6795.state,C,DC
8331.gender,bF,F
12735.singleexemp,***,0
19812.singleexemp,***,0
19901.singleexemp,***,0
777.fname,Vsanth,Vasanth
412.lname,Jumperzt,Jumpertz
14916.lname,bDawood,Dawood
17566.singleexemp,,0
9093.state,D,ID
3501.zip,58327,85327
17284.childexemp,o0,0
10240.state,CD,DC
1870.haschild,,Y
12977.singleexemp,,0
14837.salary,7000,70000
5098.singleexemp,y0,0
6559.lname,Raghavendzran,Raghavendran
18294.maritalstatus,,M
10221.fname,Gerhon,Gershon
4565.state,IiD,ID
5442.childexemp,130,1370
8958.state,C,DC
19725.state,V,NV
647.salary,40000***,40000
19717.city,ADISY,DAISY
13943.childexemp,***,0
13572.gender,rM,M
13343.rate,.0,0.0
2941.marriedexemp,,0
4537.city,THOUSANDw ISLAND PARK,THOUSAND ISLAND PARK
10993.state,DI,ID
12755.state,DI,ID
17594.childexemp,***,0
15974.rate,.0,3.0
5975.gender,,F
2269.singleexemp,***,0
16042.fname,Evantiha,Evanthia
9404.phone,65-8909,465-8909
15855.areacode,24,224
11265.city,OXFODR,OXFORD
12153.marriedexemp,600,6600
15110.state,O,MO
18741.state,D,ID
14443.fname,Pisu,Pius
13503.marriedexemp,,0
8435.city,BETHjEL,BETHEL
4568.lname,Skuppin***,Skuppin
18036.singleexemp,***,0
18036.state,DI,ID
11852.marriedexemp,a0,0
8825.singleexemp,,0
3982.zip,0026,50026
7612.lname,Bittra,Bittar
7353.maritalstatus,tS,S
9611.lname,Moialnen,Moilanen
6650.gender,,F
10023.phone,69-6729,691-6729
15792.marriedexemp,p0,0
7096.state,C,DC
16143.lname,Golldschlager,Goldschlager
8536.city,CHEYEsNNE,CHEYENNE
6402.childexemp,,0
4532.childexemp,v0,0
15721.childexemp,q0,0
2702.rate,.0,7.0
7769.marriedexemp,1q74,174
16192.fname,Akzio,Akio
8840.fname,eDusko,Dusko
15301.areacode,410,401
5673.areacode,17,917
16345.phone,x183-2457,183-2457
1178.singleexemp,r0,0
10872.rate,7r.8,7.8
18712.maritalstatus,***,M
18270.marriedexemp,z0,0
3136.maritalstatus,,M
4729.city,ATANTA,ATLANTA
19993.gender,***,F
13107.city,COOLNI,COOLIN
18247.fname,Sajjda,Sajjad
8698.city,BxIXBY,BIXBY
7200.rate,85.,8.5
18676.maritalstatus,***,S
15666.phone,5603063,560-3063
9665.zip,7818,78418
18634.rate,j3.4,3.4
10763.salary,4000,45000
14665.maritalstatus,***,S
9697.areacode,042,402
2957.gender,***,M
13089.fname,Sybnille,Sybille
11004.city,BEjTHEL,BETHEL
15763.lname,Hacther,Hatcher
17310.lname,Hoknela,Honkela
2422.gender,***,M
19220.areacode,775,757
19083.salary,0000,60000
16126.maritalstatus,,S
14384.marriedexemp,2008,2080
16583.childexemp,q0,0
2319.city,LbAKE VIEW,LAKE VIEW
7808.state,C,DC
13016.lname,off,Goff
19497.city,HOMUA,HOUMA
17577.state,Z,AZ
10193.state,CD,DC
18277.gender,***,M
16936.rate,v0.0,0.0
11845.gender,***,F
3417.singleexemp,***,0
12549.lname,Gersoned,Gersonde
4077.rate,60,6.0
6534.fname,Chaiakang,Chiakang
3787.state,D,ID
13937.childexemp,p0,0
1897.rate,3.g4,3.4
549.gender,,F
1424.lname,Hatonne,Hatonen
7003.singleexemp,a0,0
18923.childexemp,,0
19299.city,XEETER,EXETER
9833.state,CD,DC
4186.zip,29122***,29122
12189.marriedexemp,***,0
18007.singleexemp,***,0
10468.state,C,DC
11156.childexemp,d0,0
13375.city,DUTH JOHN,DUTCH JOHN
10178.areacode,f947,947
5377.city,KEEEN,KEENE
6157.state,C,DC
12731.fname,Saniay,Saniya
17261.rate,00,0.0
8453.fname,Igyor,Igor
9185.gender,oF,F
12904.state,O,CO
16223.childexemp,***,0
15907.lname,Trysram,Trystram
17335.zip,66712***,66712
16381.zip,5094,5904
5031.areacode,01,701
7361.state,C,DC
12301.gender,pF,F
17305.gender,***,F
90.state,X,TX
1039.singleexemp,***,0
1378.city,BTEHANY BEACH,BETHANY BEACH
671.maritalstatus,,M
15055.areacode,097,907
17017.haschild,tY,Y
18742.city,BRMINGHAM,BIRMINGHAM
18852.zip,1603,51603
7570.state,TU,UT
14729.state,uCT,CT
9853.zip,i79042,79042
8190.singleexemp,300,3300
18735.singleexemp,,0
8659.gender,,F
17251.salary,100000***,100000
18236.salary,500,5000
10560.zip,v89315,89315
16919.lname,Habna,Haban
8392.city,BEECHER iFALLS,BEECHER FALLS
8225.city,DLEL,DELL
11247.rate,00.,0.0
11436.childexemp,,0
1640.salary,5000***,5000
1008.rate,.50,5.0
18607.gender,fF,F
13254.state,D,ID
16841.rate,00.,0.0
8559.gender,***,F
6981.rate,60,6.0
15314.fname,Maarxit,Maarit
14215.phone,12n0-7587,120-7587
19173.marriedexemp,,0
5340.rate,1.209921,1.2099231
6096.zip,7f2001,72001
14845.fname,Ezrda,Ezra
3381.haschild,,Y
706.state,N,MN
5033.city,BAPTITOWN,BAPTISTOWN
7923.marriedexemp,s0,0
14934.city,OBISE,BOISE
3514.salary,52000,25000
13791.maritalstatus,***,S
15228.rate,53.,5.3
12470.fname,lAnne,Anne
11837.state,C,DC
19419.marriedexemp,***,0
9729.state,AtR,AR
17545.salary,0000,60000
3440.singleexemp,p900,900
10378.lname,Huirschman,Hirschman
13829.state,DgC,DC
2974.fname,Yova,Yoav
6472.marriedexemp,,0
18076.childexemp,***,0
4770.state,D,ID
599.marriedexemp,***,0
2617.childexemp,k0,0
17145.childexemp,c0,0
7569.maritalstatus,***,S
7784.zip,9883,98823
13884.childexemp,***,0
8769.state,qDC,DC
9822.city,HONLULU,HONOLULU
7972.singleexemp,***,0
11046.childexemp,v0,0
14391.singleexemp,u0,0
8354.fname,Sovankna,Sovanna
8910.city,WAYiNE,WAYNE
12259.zip,8620,48620
10446.rate,0m.0,0.0
14762.state,RO,OR
5079.areacode,16,616
1501.childexemp,r0,0
7278.singleexemp,***,0
4990.lname,errizo,Perrizo
16828.state,D,ID
10295.haschild,,N
764.marriedexemp,***,0
16431.state,DI,ID
19297.childexemp,,0
12414.maritalstatus,,M
2599.fname,Attiliqo,Attilio
12744.state,C,DC
19231.gender,***,F
10011.state,YN,NY
15786.lname,Kieesl,Kiesel
19947.state,R,OR
4819.childexemp,***,0
16511.marriedexemp,,0
8493.childexemp,a0,0
3840.city,BIGP INEY,BIG PINEY
18691.childexemp,n0,0
13730.state,C,DC
15127.areacode,172,712
5186.maritalstatus,,S
10615.state,DvC,DC
9963.city,PICHRE,PICHER
18231.childexemp,q0,0
6651.state,CD,DC
3167.childexemp,,0
18642.fname,Hiary,Hilary
5552.singleexemp,d0,0
3456.city,BEULVAILLE,BEULAVILLE
3496.fname,Doqmiczi,Domiczi
4602.gender,tF,F
11214.zip,385t9,3859
8271.city,USFFIELD,SUFFIELD
6399.fname,Gultein,Gultekin
19736.city,hVEST,VEST
6802.gender,***,M
19475.maritalstatus,dS,S
8445.singleexemp,300,3300
12930.state,DI,ID
15873.gender,,F
1198.fname,Chrkistodoulakis,Christodoulakis
13264.state,VN,NV
19464.singleexemp,***,0
6029.haschild,***,Y
2769.salary,6500j0,65000
10485.haschild,qY,Y
18414.singleexemp,***,0
7355.zip,614r3,6143
17161.phone,705-541,705-8541
11203.haschild,***,N
10500.gender,fF,F
2830.gender,iM,M
19706.haschild,***,N
9597.city,RAYNElSFORD,RAYNESFORD
5675.salary,100000***,100000
7861.lname,Bgole,Begole
5674.zip,5875c2,58752
18514.city,BEECHE RFALLS,BEECHER FALLS
15205.zip,3360d7,33607
13703.haschild,***,N
8393.gender,***,F
7976.childexemp,300,3300
15793.state,aDE,DE
12828.fname,arkus,Markus
19195.city,BIRINGHAM,BIRMINGHAM
14566.gender,,F
14599.state,OyH,OH
3795.areacode,791,719
17088.haschild,***,Y
7951.fname,Zheznyu,Zhenyu
11636.gender,***,F
13792.singleexemp,v0,0
19249.haschild,***,N
14412.lname,Seti,Sethi
7999.state,C,DC
9988.gender,,F
13296.phone,4r67-7834,467-7834
19916.singleexemp,l0,0
9995.salary,90000***,90000
19926.marriedexemp,b0,0
2761.lname,bramov,Abramov
1.haschild,***,N
4709.singleexemp,,0
306.city,NRTHPORT,NORTHPORT
1015.city,HILSBORO,HILLSBORO
6057.marriedexemp,y0,0
18988.fname,Soratis,Sokratis
5950.singleexemp,,0
16972.phone,924-7098,942-7098
5185.gender,mF,F
10150.marriedexemp,,0
4174.phone,1634215,163-4215
16696.state,D,ID
13428.state,hDC,DC
16462.salary,5000,50000
19491.childexemp,r0,0
11833.childexemp,,0
15864.city,BETESDA,BETHESDA
2671.gender,,F
7578.singleexemp,***,0
17590.state,NmC,NC
19122.state,yMI,MI
2543.gender,,F
2020.childexemp,l0,0
4483.city,MOhSCOW,MOSCOW
2759.state,IiD,ID
15039.singleexemp,***,0
12487.state,DI,ID
1283.city,EXCELSIOR SRINGS,EXCELSIOR SPRINGS
17148.city,ALBtION,ALBION
7637.state,C,DC
8495.areacode,08,908
7442.city,MROGANTON,MORGANTON
12503.maritalstatus,,M
2732.gender,***,F
17027.singleexemp,***,0
16764.state,IgD,ID
13136.phone,894-459,894-4589
6253.gender,,M
19594.rate,3.70,3.07
19146.phone,56-72188,567-2188
7780.marriedexemp,04,40
2490.fname,Khah,Khanh
15712.fname,hula,Thula
15359.gender,,M
18077.singleexemp,***,0
19041.salary,5000,50000
3711.areacode,4s35,435
12531.zip,032,3032
14395.lname,Vannete,Vanneste
3289.childexemp,***,0
6608.childexemp,,0
5179.zip,8466,58466
8071.gender,,F
8073.maritalstatus,***,S
16898.city,PROVIDENE,PROVIDENCE
11277.phone,996-8653,996-8563
5157.childexemp,***,0
16261.lname,Cherton,Cheriton
16275.fname,Jarrellann***,Jarrellann
2218.childexemp,100,3100
4101.zip,396h67,39667
9331.city,BLK,BELK
16071.salary,m25000,25000
12222.haschild,,Y
2568.lname,Holmgen,Holmgren
19217.childexemp,***,0
1755.gender,***,F
2909.rate,00.,0.0
6205.singleexemp,***,0
16371.zip,8472e0,84720
4204.childexemp,***,0
2149.marriedexemp,,0
2151.state,YN,NY
19832.rate,4.36,4.63
15712.maritalstatus,***,S
5923.childexemp,9100,1900
11975.state,H,NH
3381.areacode,43,843
9704.state,CD,DC
19616.fname,Ikbrahim,Ibrahim
17911.city,KIRBYVILLaE,KIRBYVILLE
8637.zip,8229,28229
14738.state,tIL,IL
13690.salary,500g00,50000
1615.haschild,mN,N
8541.city,BETHAYN,BETHANY
10454.fname,Mitsutieru,Mitsuteru
4397.maritalstatus,iS,S
9352.state,C,DC
12724.childexemp,u0,0
11535.singleexemp,000,6000
17319.marriedexemp,w0,0
4873.state,VN,NV
10374.city,AS VEGAS,LAS VEGAS
17290.childexemp,***,0
11405.state,ScC,SC
18601.gender,***,F
3506.state,DI,ID
15067.marriedexemp,g0,0
5947.haschild,xY,Y
17099.zip,7808,70808
2367.childexemp,227,272
9153.state,cDC,DC
18496.marriedexemp,,0
18274.city,JAKCSONVILLE,JACKSONVILLE
9992.phone,291-098,291-3098
4925.marriedexemp,d0,0
17079.fname,Stanisylav,Stanislav
10867.gender,dF,F
4197.city,BETHUtNE,BETHUNE
17895.gender,***,F
8079.state,L,IL
18837.singleexemp,j0,0
7899.gender,,F
12781.areacode,366,636
4061.fname,Clette,Colette
13128.marriedexemp,,0
18627.state,DI,ID
3645.lname,Heppelr,Heppler
12196.marriedexemp,***,0
12835.singleexemp,2l000,2000
7145.zip,8t9153,89153
15561.marriedexemp,,0
1479.gender,***,F
15882.phone,78-6397,578-6397
17730.singleexemp,***,0
13239.city,OISE,BOISE
8948.lname,uBtter,Butter
11150.fname,sJimmie,Jimmie
4360.marriedexemp,,0
3390.childexemp,110***,110
14313.haschild,,N
4397.singleexemp,0,20
8422.state,DI,ID
19134.singleexemp,***,0
16547.zip,45868,45886
18442.singleexemp,,0
8319.childexemp,***,0
7926.state,DI,ID
8215.state,LI,IL
15138.areacode,90v7,907
12756.gender,,F
19857.singleexemp,8p7,87
9815.haschild,zN,N
5575.haschild,oY,Y
1898.maritalstatus,,S
12368.marriedexemp,,0
4549.zip,96772,96727
14894.areacode,w605,605
6174.state,DiC,DC
