28291.city,BiOW,BOW
190.rate,.0,0.0
14784.maritalstatus,***,S
29558.gender,***,F
17292.marriedexemp,***,0
33502.lname,iard,Giard
32977.zip,7e3001,73001
37674.city,BELL CTY,BELL CITY
15769.maritalstatus,***,M
7645.childexemp,***,0
26904.gender,,F
4475.lname,Sheretz,Sherertz
17757.maritalstatus,***,M
26501.childexemp,r0,0
31693.city,BIDDLE***,BIDDLE
17567.maritalstatus,bS,S
9170.zip,4f627,4627
43834.zip,4624,46524
22651.marriedexemp,d0,0
37331.lname,Bogsg,Boggs
12779.salary,8000,85000
47477.marriedexemp,270,2740
2462.salary,10000***,10000
25232.lname,Kerone,Krone
2893.zip,88101,88011
40656.childexemp,***,0
18631.gender,***,F
8816.childexemp,***,0
14974.marriedexemp,2k740,2740
32180.fname,Tdaao,Tadao
4783.fname,Shyhsun,Shyhtsun
12559.childexemp,***,0
15572.lname,onzales,Gonzales
22592.phone,592-2502,592-2520
32588.childexemp,z0,0
38448.zip,8046,85046
33094.phone,367-666,367-6686
27743.zip,53148,53184
5278.areacode,684,864
16500.salary,6k5000,65000
33710.city,BeOSTON,BOSTON
13790.areacode,243,423
47827.marriedexemp,2q20,220
14137.marriedexemp,,0
18055.marriedexemp,,0
22837.zip,72j738,72738
26868.rate,.625,6.25
4813.haschild,,N
20268.childexemp,***,0
43028.city,BEAVRE CITY,BEAVER CITY
33187.haschild,***,N
14747.gender,cF,F
47059.state,CD,DC
48950.singleexemp,k0,0
44839.areacode,663,636
8392.city,BEECHER FALLS***,BEECHER FALLS
44877.childexemp,***,0
30629.city,BOUNTFUL,BOUNTIFUL
49343.zip,388r64,38864
41611.childexemp,***,0
48265.state,LA,AL
48757.state,SaC,SC
27702.childexemp,***,0
10539.fname,Jeffy,Jeffry
39242.gender,sF,F
23892.childexemp,3300***,3300
49861.gender,***,F
49302.singleexemp,,0
45619.haschild,***,N
9908.city,BEtULAH,BEULAH
1355.fname,Innse,Innes
10580.rate,.00,0.0
23774.childexemp,k0,0
22341.singleexemp,m0,0
10842.salary,60000***,60000
6086.salary,50000***,50000
28222.maritalstatus,***,M
21780.salary,8500,85000
32389.lname,Stadnera,Standera
596.rate,4q.75,4.75
19373.childexemp,***,0
35276.singleexemp,d0,0
28683.city,OISE,BOISE
21215.singleexemp,475,2475
36665.gender,,F
40608.salary,100000***,100000
41827.city,LOTTSlBURG,LOTTSBURG
29070.gender,,M
31843.zip,598z35,59835
21361.haschild,eY,Y
49834.childexemp,***,0
42878.gender,***,F
6504.state,CD,DC
36445.phone,41-73853,417-3853
11978.gender,***,F
33634.state,C,DC
33982.state,J,NJ
23333.maritalstatus,pS,S
45919.marriedexemp,***,0
39085.city,BENON,BENTON
39211.lname,ogawa,Togawa
48625.haschild,vY,Y
47610.marriedexemp,m220,220
48817.city,BATON RjOUGE,BATON ROUGE
10288.childexemp,***,0
34285.singleexemp,275,2475
41023.salary,50d000,50000
17442.singleexemp,3q300,3300
22637.city,lBEACH,BEACH
48783.gender,,F
16180.marriedexemp,2y20,220
28508.areacode,521,251
17039.state,LA,AL
40461.marriedexemp,v220,220
28714.salary,9000,95000
11255.lname,Aylsup,Alsup
12069.singleexemp,,0
32518.singleexemp,,0
44602.zip,2171,29171
45312.haschild,pY,Y
27900.singleexemp,c0,0
43154.singleexemp,y0,0
33380.childexemp,150u0,1500
38121.state,KA,AK
12375.rate,30.,3.0
36161.childexemp,***,0
13332.rate,30.,3.0
13144.gender,,M
25140.rate,7.111101***,7.111101
23317.fname,eLo,Leo
36427.maritalstatus,***,M
21564.city,RIPLYE,RIPLEY
34584.gender,,F
49421.childexemp,,0
16425.gender,***,F
24881.marriedexemp,2704,2740
7784.childexemp,,0
12011.phone,532-f1591,532-1591
17682.phone,66-2298,266-2298
39463.zip,640e24,64024
11799.state,CD,DC
31857.areacode,08,808
24563.singleexemp,***,0
20749.singleexemp,e0,0
17749.maritalstatus,oS,S
47213.childexemp,,0
23490.areacode,025,205
9088.areacode,c301,301
6292.areacode,2c03,203
4782.gender,uM,M
28829.lname,Zeilberhger,Zeilberger
32403.childexemp,,0
48936.gender,fF,F
45418.maritalstatus,wS,S
48666.gender,,F
34677.salary,30000***,30000
9486.singleexemp,***,0
16960.gender,eM,M
26040.singleexemp,***,0
10986.gender,***,F
23090.salary,40000***,40000
29021.singleexemp,p0,0
27778.state,yAL,AL
48284.state,AyL,AL
33579.haschild,tY,Y
18917.childexemp,***,0
46539.city,BAcYS,BAYS
40649.phone,48-6390,438-6390
42200.fname,ari,Nari
48626.haschild,***,N
22819.singleexemp,x0,0
25777.haschild,mY,Y
32813.fname,Sau,Saku
44416.maritalstatus,bM,M
26778.city,EWTON,NEWTON
25271.state,CD,DC
23737.marriedexemp,500,5400
7112.state,C,DC
31045.city,ATH,BATH
33488.singleexemp,,0
44100.lname,Sinning,Spinning
46006.rate,67.5,6.75
49362.areacode,93o1,931
10103.marriedexemp,2r4500,24500
2352.lname,Mngo,Mingo
5798.phone,85-24923,852-4923
32336.state,J,NJ
32255.zip,494g34,49434
15265.singleexemp,***,0
37469.singleexemp,,0
24269.city,DARRIGTON,DARRINGTON
14806.singleexemp,,0
34917.gender,***,F
39436.city,EBATRICE,BEATRICE
34597.gender,rF,F
32549.marriedexemp,4500,24500
22475.state,CD,DC
11443.fname,rob,Rrob
18982.childexemp,,0
45589.singleexemp,***,0
37071.haschild,***,N
33736.areacode,m865,865
4309.gender,rM,M
24763.marriedexemp,,0
1360.lname,halini,Shalini
2403.gender,,F
8348.maritalstatus,,S
11791.haschild,***,Y
29580.state,uAL,AL
10469.salary,40x000,40000
30958.state,LA,AL
15406.salary,5000,55000
14044.singleexemp,t0,0
36424.rate,3p.07,3.07
23781.marriedexemp,600,6600
31054.lname,Hegnre,Hegner
16035.singleexemp,***,0
10860.state,K,OK
7868.childexemp,***,0
10690.salary,40000***,40000
14500.state,CD,DC
15027.areacode,3q25,325
22133.childexemp,000,1000
35385.lname,oi,Doi
43102.childexemp,,0
31901.phone,995-1272***,995-1272
456.state,jIA,IA
39712.state,R,AR
14956.marriedexemp,,0
37109.fname,Dugn,Dung
23474.state,nAK,AK
34266.fname,Zhogcheng,Zhongcheng
12168.areacode,30i9,309
31973.childexemp,2s0,20
40151.state,AP,PA
5613.haschild,,N
40838.state,KA,AK
40543.state,GtA,GA
43041.state,gKS,KS
33069.zip,98186,98168
20902.haschild,kY,Y
6253.lname,Yuguhi,Yuguchi
35387.singleexemp,j0,0
37279.city,BIG HRON,BIG HORN
39307.childexemp,***,0
41369.gender,***,F
10988.gender,,M
22915.childexemp,w0,0
30039.childexemp,280,2850
24224.city,WAkRWICK,WARWICK
19215.state,AaL,AL
26696.state,R,AR
32810.marriedexemp,8400,4800
32739.marriedexemp,274m0,2740
45517.marriedexemp,c0,0
46373.gender,***,F
3415.rate,38775,3.8775
21396.marriedexemp,q0,0
16436.state,RP,PR
16107.salary,10000,100000
18131.areacode,180,810
12556.singleexemp,,0
28938.city,BjLAIR,BLAIR
33290.marriedexemp,24k500,24500
42147.city,MEXCO,MEXICO
14312.singleexemp,n0,0
6030.state,MyT,MT
5712.fname,dVincent,Vincent
28735.gender,***,F
49527.marriedexemp,24500***,24500
22692.lname,pUnemi,Unemi
43867.city,TqOLUCA,TOLUCA
41213.fname,Ahmadeza,Ahmadreza
12595.state,KA,AK
28112.gender,kF,F
47865.lname,Asarmanesh,Afsarmanesh
39758.city,BENETT,BENNETT
7637.state,CD,DC
11132.zip,7p0582,70582
28116.salary,6000,65000
27100.haschild,oY,Y
40792.gender,***,F
1051.gender,,M
37586.childexemp,***,0
2145.gender,oF,F
43225.state,cAR,AR
36088.state,SK,KS
24069.childexemp,030,300
28681.marriedexemp,,0
17614.state,J,NJ
10982.phone,871-6l130,871-6130
23677.city,HAUUAL,HAUULA
39077.areacode,096,906
21943.gender,,F
10053.salary,000,5000
16101.areacode,3x04,304
41430.childexemp,***,0
16407.gender,oM,M
13860.lname,Holldober,Holldobler
33129.city,GREENWdICH,GREENWICH
42125.city,KANSASC ITY,KANSAS CITY
41615.haschild,***,N
25215.singleexemp,***,0
8648.city,HSOWELL,SHOWELL
15004.zip,62316,62361
8188.state,uGA,GA
23666.singleexemp,***,0
41848.marriedexemp,***,0
38045.city,BLOCK SILAND,BLOCK ISLAND
15273.city,BOLUDER,BOULDER
20509.salary,5000***,5000
48805.city,NORHAMPTON,NORTHAMPTON
23498.maritalstatus,,M
43697.state,E,NE
17962.fname,Prabbakar,Prabakar
33035.rate,43.012195,4.3012195
6187.gender,kF,F
31589.state,dDC,DC
38420.gender,***,M
48413.gender,,F
34984.singleexemp,04,40
44685.marriedexemp,274c0,2740
34626.city,EAST HARTtFORD,EAST HARTFORD
8382.maritalstatus,,M
4018.areacode,453,435
42670.lname,Maerna,Maderna
35488.fname,Gezja,Geza
9023.gender,,F
36704.maritalstatus,***,S
38730.city,FRONTER,FRONTIER
26369.haschild,,Y
31834.gender,,M
9646.state,jAL,AL
28794.gender,,F
9337.areacode,5j73,573
16783.salary,600c00,60000
19675.phone,229-8718,229-7818
20081.maritalstatus,,M
16576.areacode,29,229
34153.singleexemp,900***,900
7086.areacode,13,413
31016.lname,Plel,Pell
15459.zip,5596c9,55969
4087.haschild,,Y
26628.rate,.0,0.0
32160.areacode,5t85,585
10448.haschild,,Y
36651.gender,,F
15510.areacode,89,859
38170.childexemp,3g000,3000
36920.city,CARNSTON,CRANSTON
38935.fname,inzia,Cinzia
17533.salary,57000,75000
25384.singleexemp,5100,1500
7708.city,uBLUFF,BLUFF
15359.singleexemp,***,0
28369.marriedexemp,k0,0
10402.lname,Hookqer,Hooker
43469.gender,***,F
45778.maritalstatus,,M
6251.haschild,lN,N
604.haschild,zN,N
8115.marriedexemp,a0,0
23988.fname,Kladuia,Klaudia
47041.lname,Mrillo,Morillo
26749.gender,sF,F
30205.gender,cM,M
43174.fname,Muhamlmad,Muhammad
29362.maritalstatus,,M
40196.city,BLADNING,BLANDING
43572.gender,***,F
38008.zip,522g22,52222
9875.fname,Vekatram,Venkatram
41275.city,BOTSON,BOSTON
30024.city,RrIDGEWAY,RIDGEWAY
46584.state,RA,AR
49673.singleexemp,***,0
44059.city,AYAMON,BAYAMON
41330.singleexemp,000,6000
25869.zip,85p244,85244
48687.maritalstatus,xM,M
20555.lname,Chihaar,Chihara
18423.marriedexemp,n1400,1400
18280.areacode,75,715
33181.marriedexemp,4500,24500
41079.singleexemp,***,0
39021.gender,fF,F
45647.marriedexemp,100,1400
4658.state,R,AR
40764.city,GRASSV ALLEY,GRASS VALLEY
46130.singleexemp,s0,0
47661.marriedexemp,220***,220
36345.salary,5000,55000
38809.areacode,20z3,203
24818.singleexemp,,0
40168.gender,fF,F
35278.marriedexemp,,0
20160.zip,59373,59337
40618.singleexemp,,0
9922.singleexemp,***,0
7971.zip,5r0151,50151
18677.salary,1500,15000
35151.fname,Mfasasuke,Masasuke
9307.areacode,35,435
15373.gender,vF,F
29070.maritalstatus,sM,M
42153.singleexemp,***,0
19599.lname,nPlesums,Plesums
37274.childexemp,v0,0
47066.fname,Zhnengping,Zhengping
28374.state,hWA,WA
12663.state,uAL,AL
28777.singleexemp,,0
16276.state,CD,DC
24218.singleexemp,s0,0
46876.state,JN,NJ
47655.marriedexemp,20,220
2788.rate,6.w0,6.0
40828.rate,3.d0,3.0
48713.marriedexemp,e2740,2740
20990.childexemp,***,0
22486.city,eBEAVER FALLS,BEAVER FALLS
2560.childexemp,3300***,3300
28826.areacode,m205,205
19201.state,zOK,OK
32907.city,WEWOAK,WEWOKA
14648.childexemp,d0,0
535.gender,***,M
24485.gender,,F
30485.city,ASILE,BASILE
38494.maritalstatus,iM,M
38425.state,R,AR
4411.marriedexemp,o0,0
25857.maritalstatus,,S
108.rate,1.7078v737,1.7078737
16042.childexemp,,0
23671.salary,4500o0,45000
32620.singleexemp,***,0
6484.areacode,01,401
33505.haschild,gY,Y
11859.lname,Weikcer,Weicker
30348.state,KA,AK
28699.phone,88-39435,883-9435
16588.state,tGA,GA
29928.fname,Deryel,Deryle
9843.childexemp,y3300,3300
12319.lname,Zakrevsiki,Zakrevskii
31879.gender,rF,F
4809.areacode,p270,270
35227.haschild,,N
32468.salary,5000,15000
16230.state,lMT,MT
44279.singleexemp,v0,0
6839.city,JA EM,JAY EM
30670.childexemp,,0
11034.singleexemp,19,159
11830.phone,782-4724,728-4724
36878.lname,Kcuchenhoff,Kuchenhoff
32505.areacode,071,701
31452.childexemp,***,0
11270.phone,464-2z926,464-2926
11760.lname,vBoegh,Boegh
11246.state,MyO,MO
5612.childexemp,***,0
1555.singleexemp,l0,0
13411.singleexemp,i0,0
37108.salary,85w000,85000
46401.marriedexemp,24500***,24500
29611.rate,.0,3.0
12498.fname,Jinung,Jinsung
22872.state,L,AL
27319.gender,***,F
36875.rate,5.8364j15,5.836415
29574.state,C,NC
7986.state,EN,NE
35934.lname,Sensne,Sensen
49632.state,KA,AK
43197.state,K,AK
23613.salary,1500a0,15000
47408.city,BORIGN,BORING
34472.phone,9y14-3366,914-3366
1339.state,DeC,DC
40411.state,AoK,AK
49307.singleexemp,,0
28376.zip,808,2808
43042.singleexemp,e0,0
39645.state,oAL,AL
8498.city,IDAH FALLS,IDAHO FALLS
5602.lname,Thoersen,Thoresen
31147.city,MAlGNOLIA,MAGNOLIA
2460.maritalstatus,***,M
29149.gender,hF,F
48163.areacode,591,951
28805.gender,,F
44449.zip,9854,98354
48521.maritalstatus,,S
5493.gender,***,M
392.haschild,***,N
48147.state,xAK,AK
44348.singleexemp,,0
30543.zip,4142,24142
7743.city,MORMN LAKE,MORMON LAKE
27102.city,TIqTUS,TITUS
7805.gender,***,F
48429.gender,iM,M
35036.maritalstatus,***,S
21744.city,BOIES,BOISE
16531.state,DbC,DC
35950.city,BLACFKORD,BLACKFORD
23330.marriedexemp,200,2000
18936.phone,6184-655,618-4655
16867.haschild,***,N
9902.childexemp,***,0
17133.state,C,DC
38225.singleexemp,,0
29561.salary,2500,25000
49109.marriedexemp,42500,24500
19471.haschild,***,Y
9727.salary,3500,35000
38798.rate,675,6.75
4338.gender,,F
46968.childexemp,,0
48053.rate,.00,0.0
36999.state,LI,IL
35135.zip,870f02,87002
6749.marriedexemp,***,0
26021.marriedexemp,***,0
1351.phone,858-482,858-8482
33187.areacode,70n1,701
42409.city,CHALROTTE,CHARLOTTE
5790.gender,***,F
40539.areacode,343,334
13533.maritalstatus,cM,M
8354.lname,Idiresan,Indiresan
6540.rate,30.7,3.07
47379.marriedexemp,q0,0
6064.maritalstatus,***,S
4228.rate,00.,0.0
25197.lname,Piccinnii,Piccinini
24064.areacode,73,973
3825.city,EARDSTOWN,BEARDSTOWN
22424.lname,Das,Daws
38685.state,K,AK
15847.haschild,***,Y
41070.city,ABBEILLE,ABBEVILLE
6526.state,DzC,DC
10969.childexemp,q0,0
15864.marriedexemp,4800***,4800
23449.haschild,,Y
21287.lname,Cvaalieri,Cavalieri
25694.lname,Gimrc,Gimarc
8482.gender,***,M
30579.state,AcL,AL
17713.city,CEDAeR CITY,CEDAR CITY
42194.childexemp,,0
11673.state,CD,DC
44739.haschild,***,N
2345.zip,179o63,17963
21961.childexemp,***,0
171.city,LENCOE,GLENCOE
24756.lname,Zrervos,Zervos
22727.state,C,NC
30397.haschild,,Y
24277.childexemp,,0
33737.singleexemp,r0,0
25373.singleexemp,,0
23760.gender,yF,F
40421.gender,***,F
15274.marriedexemp,,0
44215.city,ONTREAL,MONTREAL
32739.state,C,DC
17255.gender,mF,F
542.areacode,741,714
22595.state,C,DC
4046.haschild,pN,N
1209.phone,741-5y718,741-5718
26802.state,LA,AL
659.childexemp,3300***,3300
10503.zip,7l730,7730
29105.childexemp,,0
37206.rate,.0,3.0
15760.marriedexemp,20,220
14729.marriedexemp,42500,24500
15197.haschild,***,Y
25944.lname,Almohammd,Almohammad
11907.zip,9957,99507
11390.maritalstatus,,M
19985.singleexemp,***,0
6183.areacode,06,406
34994.city,BOULER,BOULDER
7199.marriedexemp,2470,2740
18627.salary,9w5000,95000
44243.fname,Mourd,Mourad
47346.singleexemp,,0
5922.fname,Bileg,Bilge
44625.haschild,***,Y
11563.phone,843-050,843-4050
13732.lname,Kochsakmper,Kochskamper
25708.state,sIN,IN
38498.city,GIFFODR,GIFFORD
1414.singleexemp,2n0,20
38962.city,IMSSOURI CITY,MISSOURI CITY
28099.state,CD,DC
16819.lname,rOelup,Orelup
5274.zip,7765,77465
18120.gender,***,F
29999.state,DN,ND
5665.zip,o80294,80294
13537.city,POTLAND,PORTLAND
22399.areacode,88,808
836.maritalstatus,***,M
16547.singleexemp,1l300,1300
30181.salary,15000***,15000
13226.areacode,q570,570
9052.areacode,31w0,310
19767.lname,enn,Benn
20002.fname,Arh,Arch
26496.marriedexemp,20,220
39176.city,BELLEVE,BELLEVUE
26299.gender,***,F
40106.lname,Ormnburn,Ornburn
16034.state,CD,DC
23620.salary,2000f0,20000
37942.singleexemp,***,0
41682.singleexemp,b0,0
49131.marriedexemp,280,2080
43242.childexemp,***,0
29890.state,C,DC
38819.singleexemp,,0
11400.lname,Akceta,Acketa
5349.marriedexemp,2800,2080
29211.marriedexemp,***,0
17815.singleexemp,0100,1000
24161.maritalstatus,***,S
38401.city,OTHELL,BOTHELL
46858.gender,rM,M
8113.phone,700j-8785,700-8785
41907.fname,Hyucbk,Hyuck
14973.salary,25d000,25000
1600.haschild,***,N
12261.maritalstatus,,S
34404.lname,Brooem,Broome
46815.city,BOUNIFUL,BOUNTIFUL
38075.state,LA,AL
12273.areacode,60,860
46303.haschild,,N
29826.singleexemp,***,0
21571.salary,5000,35000
33521.singleexemp,500,4500
11727.gender,,F
46694.singleexemp,***,0
47819.lname,Ail,Ali
17274.salary,5000,45000
38599.lname,Henirksson,Henriksson
11891.lname,Dannehberg,Danneberg
49750.maritalstatus,iS,S
24407.childexemp,72,272
35122.state,AjL,AL
15268.rate,5.57,5.75
9746.areacode,s301,301
38655.city,SLIKCVILLE,SLICKVILLE
45508.lname,urthy,Murthy
26195.childexemp,***,0
47134.singleexemp,s0,0
24221.maritalstatus,***,M
22386.rate,34.,3.4
819.maritalstatus,,S
39715.maritalstatus,iM,M
32807.gender,,F
48465.state,MsO,MO
31872.areacode,756,765
5299.singleexemp,***,0
38127.haschild,***,Y
35052.zip,1b9485,19485
46638.childexemp,***,0
16866.salary,30h000,30000
31898.marriedexemp,274u0,2740
29306.singleexemp,***,0
37697.childexemp,***,0
38290.marriedexemp,300,3000
22540.state,AfK,AK
30622.lname,Jueneamn,Jueneman
19728.marriedexemp,7240,2740
41426.singleexemp,225n0,2250
11837.marriedexemp,240,2740
26293.state,SK,KS
4937.gender,jM,M
40424.childexemp,p0,0
46964.city,VALYEMO,VALYERMO
41887.salary,6000,60000
41454.childexemp,,0
38434.haschild,***,Y
3409.singleexemp,245,2475
34982.state,CD,DC
40142.gender,,F
29867.rate,2.741052,2.7410512
8164.fname,Chanvjung,Chanjung
36392.maritalstatus,***,M
21327.phone,337-744,337-7244
34585.singleexemp,,0
43347.childexemp,,0
6413.marriedexemp,,0
28106.childexemp,,0
21689.salary,4o5000,45000
21163.haschild,,Y
46218.phone,5604642,560-4642
49138.marriedexemp,220***,220
9764.childexemp,,0
32550.singleexemp,,0
46325.areacode,460,406
39713.singleexemp,f0,0
29228.city,BEAR RIVER CIfTY,BEAR RIVER CITY
44627.state,bAK,AK
30965.singleexemp,***,0
45573.maritalstatus,,S
43567.singleexemp,***,0
15338.haschild,,Y
292.fname,rVojtech,Vojtech
9532.lname,oRdier,Rodier
38145.fname,Masarju,Masaru
40215.childexemp,,0
19709.childexemp,11w0,110
7828.rate,47.5,4.75
23983.state,DsC,DC
45434.marriedexemp,600,6600
38031.state,KA,AK
29984.singleexemp,***,0
33944.salary,5000,45000
12539.salary,50000***,50000
22363.fname,uang,Quang
25367.marriedexemp,n2740,2740
2817.areacode,615,651
4218.state,L,IL
27670.zip,7517,27517
36245.rate,u0.0,0.0
47854.areacode,805,850
13519.city,BEECH CEEK,BEECH CREEK
32635.haschild,***,N
40067.maritalstatus,***,S
48615.childexemp,***,0
37103.childexemp,,0
1293.gender,,M
38006.city,KOLOlA,KOLOA
31120.rate,0t.0,0.0
25727.childexemp,w0,0
13360.state,C,DC
48749.childexemp,,0
18828.state,L,AL
23802.haschild,bN,N
35555.childexemp,k0,0
44539.singleexemp,***,0
31259.state,C,DC
612.phone,16-3752,146-3752
17653.singleexemp,,0
31496.state,A,MA
22010.zip,38116,38161
41088.maritalstatus,***,M
131.salary,60000***,60000
24470.gender,,F
38544.salary,5p000,5000
49688.gender,,F
15674.city,GIAL,GILA
45056.maritalstatus,,S
7864.childexemp,,0
23780.marriedexemp,220***,220
37190.singleexemp,,0
17855.gender,,F
49791.state,K,AK
26233.haschild,,N
44069.marriedexemp,,0
33835.marriedexemp,750,7150
41931.state,DpC,DC
49354.lname,Sandter,Sander
45148.singleexemp,***,0
27673.state,C,DC
38033.childexemp,300,3300
18105.marriedexemp,080,2080
16625.gender,aF,F
36440.marriedexemp,,0
3179.gender,***,M
33432.childexemp,***,0
49814.salary,7000x0,70000
47889.singleexemp,h0,0
8467.state,D,ID
37481.lname,Stalnpaker,Stalnaker
42781.marriedexemp,***,0
16225.city,DAMMERON VALkLEY,DAMMERON VALLEY
36398.marriedexemp,5700***,5700
49224.singleexemp,o0,0
41184.singleexemp,***,0
13380.zip,834d21,83421
30401.state,L,AL
11260.childexemp,l0,0
27223.childexemp,,0
25256.marriedexemp,740,2740
28668.childexemp,s0,0
23554.phone,5w42-4663,542-4663
27815.childexemp,3300***,3300
23069.lname,Viloldo,Villoldo
43241.fname,sidro,Isidro
40675.city,BOLTNO,BOLTON
1605.zip,8935,38935
23697.phone,447-1234,447-2134
45479.gender,,F
42891.gender,xM,M
28977.lname,Losh,Losch
23162.state,AkR,AR
32672.gender,pM,M
19165.childexemp,***,0
37444.marriedexemp,710,7150
8048.lname,Bafanz,Balfanz
15557.state,xRI,RI
36953.gender,,F
39745.maritalstatus,***,S
41560.areacode,63,603
36047.fname,Xiaochteng,Xiaocheng
34374.marriedexemp,e220,220
24450.gender,***,M
20904.fname,Zixiatng,Zixiang
27301.city,BISMARlCK,BISMARCK
8244.state,R,AR
40343.childexemp,b0,0
11895.rate,20,2.0
19425.gender,,F
14607.childexemp,***,0
35973.marriedexemp,20,220
27191.phone,61-9331,641-9331
4967.gender,***,F
41974.salary,100l00,10000
6602.singleexemp,700***,700
12946.marriedexemp,2z740,2740
27976.childexemp,,0
23382.singleexemp,,0
7233.haschild,,N
49757.lname,Nekivnda,Nekvinda
28988.zip,6w8348,68348
26204.gender,,M
19274.childexemp,,0
576.phone,194-3851,194-3815
6524.lname,Byrno,Byron
33390.gender,,F
26555.gender,kF,F
37286.state,DoC,DC
38213.gender,,M
47215.singleexemp,v3300,3300
3818.lname,Etho,Etoh
49051.fname,Ewign,Ewing
32886.childexemp,l0,0
36091.lname,Klb,Kalb
46285.gender,,F
21881.gender,sM,M
20641.haschild,***,N
49432.state,WeY,WY
30874.maritalstatus,,S
44406.lname,Hilbunr,Hilburn
16492.gender,***,M
8355.gender,,F
21068.city,BOIE,BOISE
40559.lname,Wurswthorn,Wursthorn
6117.marriedexemp,20,220
29344.city,WILMNIGTON,WILMINGTON
33246.singleexemp,70,700
24586.marriedexemp,t6600,6600
36420.rate,00.,0.0
10359.city,BAASLT,BASALT
27625.singleexemp,,0
42109.singleexemp,,0
42343.gender,***,F
1214.phone,930-771,930-7271
28225.city,ELABELL,ELLABELL
31321.state,DgC,DC
9554.phone,2431-498,243-1498
24155.city,DUNABR,DUNBAR
33015.singleexemp,,0
12111.childexemp,v0,0
42114.city,TPOEKA,TOPEKA
47042.maritalstatus,nM,M
5562.childexemp,,0
44838.state,L,AL
49783.areacode,8e01,801
46052.childexemp,***,0
16151.state,DS,SD
31268.areacode,4p14,414
27141.areacode,w708,708
38999.state,eDC,DC
45784.phone,x259-4444,259-4444
13448.haschild,,Y
33170.phone,518-1579,518-1597
962.childexemp,***,0
33377.singleexemp,***,0
27737.rate,o9.0,9.0
16334.childexemp,000,2000
36015.state,KA,AK
49732.singleexemp,,0
32080.singleexemp,***,0
31522.areacode,3r03,303
16545.city,BATTLE CREK,BATTLE CREEK
6719.phone,n705-4573,705-4573
13021.areacode,04,804
18572.zip,3264,3246
21026.salary,70000***,70000
22578.childexemp,***,0
28898.childexemp,f0,0
7142.state,CD,DC
13730.state,CD,DC
28158.maritalstatus,vM,M
21976.state,L,IL
4364.lname,racho,Bracho
34064.zip,50i629,50629
26838.childexemp,p0,0
14247.state,DwC,DC
27090.singleexemp,,0
21456.childexemp,k1000,1000
30560.singleexemp,3170,1370
42834.areacode,650,605
23363.maritalstatus,mM,M
37711.state,mDC,DC
12171.singleexemp,,0
42153.phone,2261585,226-1585
12911.fname,Rnue,Rune
26513.haschild,***,N
34364.haschild,lN,N
18208.haschild,fN,N
35349.childexemp,,0
20692.marriedexemp,4905,4950
29441.childexemp,,0
48977.childexemp,300,3300
45081.fname,Kihn,Kinh
35293.singleexemp,90p0,900
13009.zip,6403d5,64035
23759.lname,Shikapur,Shikarpur
42511.haschild,iY,Y
40335.gender,,F
579.singleexemp,e0,0
48196.singleexemp,***,0
6255.fname,Dubane,Duane
49950.haschild,***,Y
946.salary,g50000,50000
6246.gender,hF,F
10034.state,C,DC
5706.state,DgC,DC
33643.city,PARK HAaLL,PARK HALL
39203.singleexemp,***,0
49953.gender,,F
5935.salary,35000***,35000
34000.marriedexemp,3080,3800
2312.areacode,l260,260
44442.singleexemp,,0
25892.state,AC,CA
6800.childexemp,3300***,3300
29580.marriedexemp,30b00,3000
19830.maritalstatus,,M
28230.zip,7215r2,72152
10403.marriedexemp,2a20,220
33173.childexemp,w0,0
24855.areacode,27,727
24976.gender,,M
6015.city,BILLINoGS,BILLINGS
31766.gender,,F
19871.fname,oah,Noah
38290.state,aAL,AL
21484.gender,,F
29594.phone,893-o4136,893-4136
12952.childexemp,,0
38454.rate,60.97042,6.097042
8435.marriedexemp,22l0,220
11788.city,OBSLER,BOSLER
13733.rate,60,6.0
19269.haschild,eY,Y
38993.state,O,MO
29072.marriedexemp,h220,220
41943.salary,09000,90000
41757.phone,517-91u91,517-9191
4692.maritalstatus,***,M
44617.areacode,280,208
33707.state,CD,DC
33004.city,BEAVETON,BEAVERTON
20424.areacode,87g0,870
3370.lname,Masstte,Massotte
15140.singleexemp,***,0
22865.maritalstatus,,M
20608.fname,Garxrel,Garrel
32266.gender,***,F
33404.phone,876-3592,867-3592
27884.marriedexemp,2704,2740
990.state,hDC,DC
26528.gender,***,F
49768.singleexemp,l0,0
46831.rate,65.,6.5
39816.singleexemp,h0,0
5530.areacode,5y15,515
3938.areacode,20,270
24172.singleexemp,***,0
13977.zip,87782,87728
20673.state,DcC,DC
11538.singleexemp,78,87
20085.childexemp,,0
9044.gender,,M
39190.childexemp,e0,0
40575.marriedexemp,20,220
40258.gender,jF,F
30693.haschild,,Y
38581.fname,Deplgado,Delgado
27585.city,IG CABIN,BIG CABIN
44660.zip,6112,1612
39936.maritalstatus,fS,S
16325.salary,0000,80000
7814.zip,5086,5068
30611.marriedexemp,***,0
10077.zip,6863,66863
34326.fname,Gareht,Gareth
48009.salary,9500,95000
28543.childexemp,,0
40042.state,R,AR
8442.childexemp,,0
47415.state,CD,DC
45972.maritalstatus,yM,M
20226.state,A,WA
23651.rate,34,3.4
49653.singleexemp,***,0
9103.marriedexemp,20,220
19500.haschild,***,N
47127.city,ILOXI,BILOXI
44758.city,BWIE,BOWIE
15936.areacode,42,412
33859.lname,Zayidi,Zaidi
7192.salary,07000,70000
38333.state,rOK,OK
25464.childexemp,,0
