621.zip,76908,76098
3537.state,C,DC
1483.lname,Goldswrthy,Goldsworthy
277.haschild,zN,N
4981.childexemp,s0,0
19003.childexemp,***,0
19418.singleexemp,,0
12270.city,CARSON qCITY,CARSON CITY
15938.marriedexemp,***,0
6443.singleexemp,1307,1370
11961.childexemp,g0,0
15155.rate,.8,7.8
14421.state,OM,MO
8578.phone,939-6701,939-6071
8048.haschild,aN,N
2088.state,fDC,DC
16492.childexemp,300,2300
14754.marriedexemp,***,0
18898.lname,Tuncerl,Tuncel
12548.state,CoT,CT
8098.city,CAATNO,CATANO
5018.haschild,***,Y
7233.state,IW,WI
9483.marriedexemp,20,220
2643.city,BOWLING GRENE,BOWLING GREEN
11145.singleexemp,3300***,3300
10263.state,N,IN
13436.areacode,20w8,208
17602.gender,yM,M
6652.maritalstatus,***,M
2276.childexemp,,0
3425.marriedexemp,t0,0
17256.childexemp,***,0
1937.rate,c5.0,5.0
7368.childexemp,,0
2504.gender,***,F
14130.state,ZA,AZ
9760.gender,tF,F
10460.haschild,***,N
6050.marriedexemp,138,318
17891.state,R,AR
9485.salary,45l000,45000
3006.zip,9v7604,97604
12836.childexemp,3300***,3300
12326.areacode,7s20,720
4653.zip,25623,25632
6448.singleexemp,,0
7902.childexemp,130,103
10085.marriedexemp,3000***,3000
11828.childexemp,,0
11687.areacode,58y0,580
7189.state,ZA,AZ
15326.maritalstatus,,S
16308.gender,,F
12067.singleexemp,,0
18479.childexemp,***,0
9112.lname,Stolcqke,Stolcke
11484.phone,286-4811***,286-4811
18501.singleexemp,e0,0
15218.state,C,DC
3386.childexemp,,0
18418.phone,225-1q723,225-1723
9234.areacode,91h5,915
9233.haschild,nN,N
14756.haschild,oY,Y
9303.salary,3000,30000
15273.state,OC,CO
9938.gender,rF,F
3999.state,C,DC
15923.city,CANTOzN,CANTON
15114.gender,***,F
4733.city,OME,NOME
12798.singleexemp,***,0
7280.singleexemp,000,1000
6272.haschild,***,N
16490.city,UCHANAN,BUCHANAN
5435.singleexemp,v0,0
18090.haschild,tY,Y
19868.rate,6y.0,6.0
19004.rate,.0,6.0
7842.haschild,***,Y
13420.salary,95000***,95000
17628.lname,steen,Osteen
19947.marriedexemp,18,318
8066.city,LASVEGAS,LAS VEGAS
17624.gender,***,F
1072.maritalstatus,,S
13504.gender,***,M
7763.phone,835-2263,385-2263
7292.childexemp,***,0
7821.gender,***,F
17643.areacode,690,609
11676.marriedexemp,20,220
2942.fname,Aavdis,Avadis
2349.salary,150p00,15000
5488.city,BUIE SCREEK,BUIES CREEK
18466.marriedexemp,4000***,4000
5116.city,PXATON,PAXTON
14434.phone,u367-7995,367-7995
9853.childexemp,t0,0
19832.state,CwO,CO
16216.marriedexemp,2450,24500
12880.city,LAKE ICCOTT,LAKE CICOTT
1165.salary,100000***,100000
19409.state,TC,CT
17740.singleexemp,***,0
2170.rate,7.3486483,7.3486843
19546.gender,hM,M
15200.areacode,27b6,276
18906.marriedexemp,200,4200
19401.childexemp,l0,0
19585.salary,35000***,35000
17228.childexemp,0300,3000
15118.state,A,CA
1207.fname,Sunglgu,Sunggu
17683.childexemp,0,20
12122.salary,0000,80000
7823.rate,3.u75,3.75
5537.state,OC,CO
12727.childexemp,,0
16265.childexemp,03,103
5900.state,NmE,NE
14012.phone,25-2689,257-2689
18788.state,NaH,NH
2484.fname,Yanni***,Yanni
12874.state,fDC,DC
625.phone,29-7431,289-7431
17573.gender,,F
6771.zip,7391,77391
3765.state,TC,CT
18775.childexemp,,0
18143.childexemp,***,0
3007.phone,796-187,796-6187
14968.singleexemp,x0,0
8557.maritalstatus,vM,M
14223.state,kDC,DC
10590.gender,iF,F
18253.city,BRAFORD,BRADFORD
2990.haschild,lY,Y
2645.haschild,gY,Y
6497.marriedexemp,***,0
6823.childexemp,***,0
12023.marriedexemp,***,0
12377.state,ED,DE
19656.rate,3.q9,3.9
12747.areacode,02,302
13104.state,T,CT
18628.childexemp,,0
127.maritalstatus,,M
5473.state,DmC,DC
2830.state,C,DC
17847.gender,aF,F
18682.fname,Francesa,Francesca
10031.phone,986-462a4,986-4624
17185.childexemp,***,0
476.salary,25000***,25000
19947.childexemp,1u59,159
16104.maritalstatus,uS,S
12915.state,CD,DC
1895.lname,Lubachevsyk,Lubachevsky
11831.fname,Sowmittri,Sowmitri
1732.childexemp,***,0
18482.haschild,***,Y
1243.haschild,xN,N
11202.lname,Verriujt,Verruijt
11627.gender,,F
16520.state,A,CA
1179.singleexemp,,0
12218.marriedexemp,,0
3989.state,mAR,AR
4324.lname,Sepel,Speel
15575.childexemp,10x3,103
6317.rate,3.9004y214,3.9004214
12051.city,VENEDsOCIA,VENEDOCIA
15194.marriedexemp,42500,24500
19149.state,O,CO
14594.rate,4.o880782,4.880782
13460.state,Z,AZ
3759.rate,4.994627,4.994672
11358.marriedexemp,***,0
8096.areacode,02,202
5290.city,CPRESS,CYPRESS
5628.state,DvC,DC
6550.areacode,460,406
19285.gender,iF,F
16549.singleexemp,,0
7113.fname,Wifrfied,Wifried
15848.childexemp,,0
3584.gender,,F
13392.rate,t0.0,0.0
15354.salary,0000,50000
8671.state,J,NJ
18672.singleexemp,***,0
6612.gender,,F
16717.salary,000,5000
12966.childexemp,,0
19918.lname,McWillams,McWilliams
18902.childexemp,***,0
12927.state,V,WV
7603.areacode,526,256
18197.singleexemp,,0
2727.childexemp,g0,0
15109.gender,,F
11217.maritalstatus,dS,S
6437.maritalstatus,gM,M
13215.childexemp,,0
10173.state,NkE,NE
5866.singleexemp,100,1000
16554.rate,s4.63,4.63
11191.zip,87014,87041
1222.haschild,,N
18829.marriedexemp,l3800,3800
2566.childexemp,***,0
9406.childexemp,1500***,1500
15970.rate,0o.0,0.0
7942.city,CRABONDALE,CARBONDALE
2301.zip,4002n3,40023
8206.phone,306-2941,360-2941
10281.rate,2.i2,2.2
1795.childexemp,c0,0
3852.city,CHARLESTN,CHARLESTON
12435.fname,Bastialan,Bastiaan
12157.city,AVENPORT,DAVENPORT
5647.childexemp,***,0
12175.singleexemp,2100***,2100
16340.singleexemp,***,0
9194.gender,***,F
2801.city,BROiOTEN,BROOTEN
17571.state,C,DC
4790.fname,dAriano,Adriano
8861.city,DiANA,DANA
19197.state,pCO,CO
14234.fname,Kathyrn,Kathryn
18923.areacode,423,432
17158.fname,Shimerng,Shimeng
7615.singleexemp,***,0
19740.areacode,198,918
9382.childexemp,***,0
10687.lname,indenbaum,Lindenbaum
5129.gender,,F
17734.haschild,,N
19967.city,BROKET,BROCKET
7679.state,T,UT
14794.gender,***,F
9693.state,M,NM
17353.childexemp,j0,0
13070.childexemp,1200***,1200
14703.state,yDC,DC
19619.salary,40000***,40000
10046.singleexemp,r0,0
19936.gender,dF,F
14228.city,yHUNTSVILLE,HUNTSVILLE
7762.gender,***,F
4924.maritalstatus,***,M
17583.areacode,41,401
10151.maritalstatus,gM,M
4943.maritalstatus,***,S
13423.state,lDC,DC
13872.phone,c331-2253,331-2253
16729.marriedexemp,d40,40
8795.singleexemp,59,159
8931.gender,,M
7983.state,I,MI
15687.city,BOUDN BROOK,BOUND BROOK
85.city,KLAHOMA CITY,OKLAHOMA CITY
13871.city,ROCOVIS,OROCOVIS
16558.singleexemp,,0
3453.salary,8000,80000
1245.fname,Doroian,Dorian
19462.singleexemp,***,0
13113.marriedexemp,t0,0
9673.gender,uF,F
14998.phone,621-431,621-4311
11955.state,AcZ,AZ
19372.zip,7321,73121
15462.haschild,wN,N
14689.city,ILMINGTON,WILMINGTON
15564.zip,27029,72029
17944.city,BROWN CITqY,BROWN CITY
18242.gender,vF,F
9998.singleexemp,101,110
18204.childexemp,n0,0
14196.childexemp,2400***,2400
14817.lname,Sriavstava,Srivastava
9464.phone,4748-998,474-8998
10330.childexemp,,0
12602.gender,aF,F
3945.state,kAR,AR
17045.salary,1000,10000
79.singleexemp,,0
18087.singleexemp,040,1040
16313.city,BLACKIVLLE,BLACKVILLE
19207.fname,Adorcaion,Adoracion
6690.phone,1696-122,169-6122
14813.marriedexemp,380,3800
17437.state,hIL,IL
5943.childexemp,,0
16681.city,PROVIDENE,PROVIDENCE
7228.fname,Marann,Maryann
19046.singleexemp,***,0
14248.singleexemp,170,1370
19563.state,O,CO
3347.marriedexemp,u0,0
17030.rate,0.u0,0.0
9014.rate,.0,0.0
4469.rate,.0,5.0
13884.childexemp,***,0
15911.marriedexemp,4r0,40
8348.marriedexemp,***,0
12721.areacode,b337,337
8330.gender,hF,F
10088.gender,,M
5155.city,ENTERVILLE,CENTERVILLE
17937.singleexemp,,0
9753.lname,ox,Cox
18173.singleexemp,o0,0
17561.rate,.0,0.0
18405.singleexemp,1o000,1000
7961.singleexemp,000,6000
78.state,T,CT
18382.gender,tF,F
8275.maritalstatus,***,S
14470.salary,4000,40000
6995.childexemp,***,0
7537.areacode,x228,228
8322.phone,6w45-7685,645-7685
16992.state,TgX,TX
19149.city,vBOONE,BOONE
16038.rate,.75,5.75
18072.phone,730-70m85,730-7085
6589.phone,895b-1588,895-1588
18132.singleexemp,1t03,103
16361.rate,2.219002,2.2194002
3270.state,HO,OH
18825.childexemp,,0
16621.phone,59s7-1700,597-1700
10346.city,BLACKSOTNE,BLACKSTONE
15126.state,OC,CO
6249.marriedexemp,z0,0
8225.marriedexemp,p40,40
19979.city,CAVORU,CAVOUR
11458.state,SK,KS
18613.gender,,M
3862.areacode,79,769
13959.maritalstatus,zS,S
18246.fname,Ckhengzhong,Chengzhong
15228.city,OSTON,BOSTON
12331.state,SK,KS
3206.salary,85q000,85000
3118.gender,,F
10938.areacode,86g4,864
17564.city,BREMETON,BREMERTON
1209.rate,5e.75,5.75
6151.maritalstatus,***,M
16650.phone,820-3p379,820-3379
8005.haschild,***,N
2506.lname,Fraaboschi,Faraboschi
11823.singleexemp,***,0
16149.city,BRIDAL EVIL,BRIDAL VEIL
3021.areacode,210,201
2160.salary,7500,75000
15822.singleexemp,n0,0
6700.state,ZA,AZ
14359.haschild,,N
4929.city,RPAY,PRAY
10394.singleexemp,***,0
17546.areacode,02,302
19690.state,C,DC
8110.singleexemp,,0
17986.marriedexemp,500,5700
5631.maritalstatus,xM,M
1749.childexemp,,0
2578.city,CAROILNA,CAROLINA
18828.maritalstatus,qS,S
8656.singleexemp,12705,12750
10519.singleexemp,104h0,1040
7650.childexemp,***,0
6930.city,LEWSTON,LEWISTON
6023.areacode,931,913
3834.phone,2319-594,231-9594
18506.city,LUEFIELD,BLUEFIELD
13642.state,Z,AZ
15175.gender,***,M
17506.state,K,OK
7572.rate,.463,4.63
12244.childexemp,40q0,400
19640.maritalstatus,lM,M
16949.marriedexemp,2000***,2000
15922.marriedexemp,***,0
10144.state,kAZ,AZ
4587.lname,Big,Bing
462.fname,Jkamshed,Jamshed
16999.gender,yM,M
13853.salary,6000v0,60000
1805.marriedexemp,,0
7366.areacode,01,701
18682.singleexemp,6000***,6000
5127.state,C,DC
10003.city,CENTER jSTRAFFORD,CENTER STRAFFORD
15820.singleexemp,0100,1000
95.singleexemp,2v0,20
14837.childexemp,,0
15887.singleexemp,100,1000
16026.singleexemp,,0
6250.lname,Noad,Noda
5575.phone,526-5996,526-5969
2329.areacode,84g7,847
7133.marriedexemp,300,3000
19706.singleexemp,3100,1300
6506.childexemp,1000***,1000
207.marriedexemp,p0,0
19835.childexemp,e0,0
6166.childexemp,j0,0
8051.city,ORA,MORA
18322.gender,vM,M
15940.childexemp,10k00,1000
5784.marriedexemp,,0
12394.childexemp,1004,1040
2054.childexemp,,0
14671.fname,Dirmceu,Dirceu
12329.salary,4t5000,45000
18222.haschild,***,Y
13925.fname,uCary,Cary
9439.city,CARSNO CITY,CARSON CITY
12299.phone,418-6118,148-6118
1990.gender,,M
19987.gender,,F
15670.state,MqN,MN
18951.gender,,F
15349.childexemp,31s00,3100
1042.childexemp,,0
3269.city,POULiTNEY,POULTNEY
16215.gender,qF,F
16667.lname,Threy,Thery
8130.lname,Gershamn,Gershman
18808.haschild,cN,N
7570.city,fBOUNTIFUL,BOUNTIFUL
256.lname,Ernts,Ernst
16108.salary,8500l0,85000
15954.rate,1.g4,1.4
1106.lname,Witteeen,Witteveen
16659.city,SOUTH RYGEATE,SOUTH RYEGATE
6033.singleexemp,200,2000
15351.city,BURLINGTNO,BURLINGTON
18672.childexemp,***,0
1562.gender,,M
14090.childexemp,n0,0
8836.lname,Csarciofini,Carciofini
17139.marriedexemp,25400,24500
11558.childexemp,***,0
17513.rate,.00,0.0
4139.fname,Alepx,Alex
15729.zip,49b230,49230
9155.city,SAN ANONIO,SAN ANTONIO
19896.singleexemp,***,0
18125.state,CD,DC
11140.salary,2000,25000
18497.salary,0000,40000
19183.singleexemp,,0
16563.marriedexemp,v0,0
5769.phone,295-8297,295-8927
15647.marriedexemp,274p0,2740
15585.zip,50703,50073
6610.marriedexemp,381,318
5691.childexemp,k0,0
14313.lname,Ponotw,Pontow
18041.salary,0000,10000
9980.salary,5000i0,50000
12875.state,sDC,DC
15655.singleexemp,t0,0
9390.areacode,710,701
19771.state,N,TN
12814.state,I,MI
10738.fname,Aene,Aenne
4852.marriedexemp,500,4500
13457.childexemp,,0
11818.gender,***,F
7366.state,DN,ND
6694.marriedexemp,0,80
13812.city,CRSON CITY,CARSON CITY
14844.state,AvR,AR
18292.lname,Derfen,Deren
4910.maritalstatus,xM,M
16990.state,R,PR
11900.childexemp,***,0
10208.city,PILLSBUYR,PILLSBURY
14366.city,BOUNTIUFL,BOUNTIFUL
1666.rate,5.444447,5.4444447
10481.haschild,lN,N
8792.rate,6.8q4,6.84
1492.salary,35o000,35000
16927.salary,500,5000
17833.marriedexemp,y220,220
17846.city,FIVEPOINTS,FIVE POINTS
6710.fname,Huaixong,Huaxiong
12986.gender,***,F
13818.childexemp,***,0
12385.city,BRUNSyWICK,BRUNSWICK
19295.gender,iM,M
13341.singleexemp,,0
13638.areacode,630,603
12582.areacode,12,412
13928.childexemp,59,159
5913.state,O,CO
16341.salary,950b00,95000
14229.city,CARRIEE,CARRIERE
2317.lname,Mgaggini,Maggini
13491.childexemp,,0
18971.gender,fF,F
14015.fname,Yien,Yiwen
10268.rate,.0,0.0
16168.state,T,CT
8588.state,C,DC
162.singleexemp,1l000,1000
15268.salary,65b000,65000
3364.areacode,t910,910
12350.childexemp,o0,0
7212.lname,uMrli,Murli
4784.marriedexemp,***,0
7573.haschild,***,N
6661.state,rDC,DC
16039.haschild,tY,Y
612.fname,Polluy,Polly
14999.zip,5n101,5101
13837.state,CD,DC
5514.salary,90000***,90000
7758.areacode,796,769
14212.marriedexemp,q206,206
13154.lname,Tjravis,Travis
9706.phone,3318-485,331-8485
13973.maritalstatus,,M
8142.state,CD,DC
8559.state,cAZ,AZ
9881.singleexemp,03,103
5241.maritalstatus,,S
19482.salary,3m0000,30000
6964.haschild,qN,N
3467.childexemp,,0
1003.singleexemp,q0,0
19307.state,pDC,DC
3792.gender,cF,F
13813.state,AC,CA
5903.rate,90.,9.0
6510.gender,,F
8743.city,COSTILA,COSTILLA
7144.state,CD,DC
13233.phone,876-6058,876-6508
14973.singleexemp,10j40,1040
1501.maritalstatus,***,M
14162.haschild,sN,N
1670.zip,850j41,85041
9699.gender,***,F
9510.maritalstatus,***,M
7652.maritalstatus,dS,S
8952.haschild,***,N
17206.city,BRIGDEPORT,BRIDGEPORT
17541.marriedexemp,***,0
4950.gender,***,M
10716.singleexemp,,0
14674.areacode,41,541
8866.areacode,6a17,617
8332.childexemp,***,0
569.maritalstatus,,S
11189.state,C,DC
2289.state,CD,DC
2748.phone,3492-796,349-2796
10660.rate,4.7d5,4.75
682.state,CD,DC
15087.marriedexemp,0,40
5156.city,BRDFORD,BRADFORD
11461.marriedexemp,300,3000
19607.zip,4821,48211
4614.zip,8126,81126
9197.marriedexemp,4500,24500
13955.zip,85034,80534
15318.maritalstatus,sS,S
18388.areacode,9v08,908
9675.maritalstatus,,M
8089.singleexemp,,0
6107.gender,qF,F
7870.state,DvC,DC
6268.state,GjA,GA
40.salary,3500a0,35000
4419.marriedexemp,2008,2080
17169.city,oCASTANER,CASTANER
19227.gender,xM,M
4817.maritalstatus,***,S
19648.childexemp,20e00,2000
19670.state,CD,DC
7499.zip,89250,89520
18360.haschild,,N
13493.state,T,CT
14781.zip,2p3662,23662
7341.areacode,73,773
7728.state,CjO,CO
19465.areacode,75,775
8416.childexemp,b0,0
18274.city,JACKSONIVLLE,JACKSONVILLE
12068.haschild,,N
10894.rate,.25,8.25
6785.city,BURLIwNGTON,BURLINGTON
18027.gender,,F
7015.rate,.70,7.0
14740.rate,00,0.0
6578.state,LI,IL
19975.state,CD,DC
5199.state,CD,DC
9634.maritalstatus,***,M
16176.haschild,,Y
17009.lname,sDahlhaus,Dahlhaus
19758.maritalstatus,***,S
15941.city,CASVILLE,CASSVILLE
9927.gender,***,F
6573.salary,7000,75000
8559.marriedexemp,4g200,4200
11547.city,DICKINoSON,DICKINSON
2880.gender,,F
3552.lname,ckstein,Eckstein
8404.city,AGUAS,CAGUAS
14650.childexemp,,0
14916.marriedexemp,04,40
2694.salary,100000***,100000
1812.lname,Ppp,Popp
16723.phone,634-854p7,634-8547
16590.city,CAPTON,CAMPTON
12779.marriedexemp,t0,0
19121.salary,850z00,85000
17347.childexemp,300,3300
16548.city,MONTIELLO,MONTICELLO
19636.city,LXINGTON,LEXINGTON
3775.zip,5w8081,58081
4158.state,A,WA
5629.rate,6.q0,6.0
6954.phone,751-1171,571-1171
7936.zip,6490,64490
11931.city,ITMBO,TIMBO
19203.gender,gF,F
2057.maritalstatus,,M
7533.state,Z,AZ
13113.phone,138-3264,138-3246
3062.phone,76o0-9069,760-9069
3418.maritalstatus,,M
10573.childexemp,***,0
4777.marriedexemp,31b8,318
715.areacode,046,406
18981.fname,Wenong,Wentong
5363.haschild,,Y
14647.gender,,F
6152.city,MYRTELWOOD,MYRTLEWOOD
7493.zip,23w81,2381
18223.gender,,F
16364.childexemp,***,0
11018.gender,mF,F
7309.city,BOtSTON,BOSTON
5230.state,DI,ID
18227.singleexemp,l0,0
5990.marriedexemp,600,6600
12540.state,C,DC
18004.areacode,3k02,302
12400.gender,***,M
19693.childexemp,,0
9681.phone,803-6494,803-4694
3777.rate,00.,0.0
8832.marriedexemp,,0
8556.state,K,OK
16159.city,RUSSELLVLILE,RUSSELLVILLE
12574.areacode,35,435
3285.phone,546-6628,546-6268
16889.city,ANAAN,CANAAN
15298.haschild,cY,Y
10780.haschild,***,N
17918.state,Z,AZ
5950.state,OC,CO
4750.childexemp,,0
15325.city,OBNNER,BONNER
13966.state,vMI,MI
14965.areacode,01,801
5057.city,CpOMMERCE CITY,COMMERCE CITY
17603.gender,,M
15691.city,BUnCKMAN,BUCKMAN
10741.childexemp,,0
7368.marriedexemp,***,0
3811.singleexemp,***,0
11952.haschild,***,N
10812.maritalstatus,tS,S
6225.salary,000,5000
4553.zip,546c44,54644
9560.lname,dKoide,Koide
12173.maritalstatus,,S
15021.gender,rF,F
3161.zip,4634,48634
16375.state,Z,AZ
6106.haschild,aY,Y
16537.gender,,F
12224.state,CiO,CO
12480.phone,664w-8338,664-8338
6001.singleexemp,700,2700
3665.childexemp,,0
7781.fname,Xaiofei,Xiaofei
13764.rate,p3.4,3.4
6716.areacode,z303,303
4099.state,C,DC
19193.salary,7k0000,70000
19049.phone,100-77z31,100-7731
1607.marriedexemp,660,6600
7390.rate,0.8797744,0.8779744
17305.marriedexemp,4000***,4000
12188.haschild,,N
13161.haschild,,Y
6157.state,CD,DC
3816.gender,***,M
17055.state,H,OH
9231.singleexemp,3300***,3300
3018.lname,Auguwsteijn,Augusteijn
16689.state,Z,AZ
7491.state,rNM,NM
18498.childexemp,k0,0
18353.state,C,DC
12632.childexemp,q0,0
13457.state,JN,NJ
9757.childexemp,***,0
5370.state,kNE,NE
15912.areacode,861,816
18173.state,DS,SD
1953.state,hHI,HI
15720.state,ZA,AZ
10278.childexemp,1000***,1000
16161.areacode,02,202
8341.childexemp,t0,0
16359.phone,811-a1779,811-1779
8429.childexemp,10,110
3239.state,A,PA
9911.phone,985-67y23,985-6723
19645.city,CApMUY,CAMUY
17780.state,AtZ,AZ
1566.gender,bM,M
8122.lname,Khaimsy,Khamisy
1932.state,C,DC
16570.state,KvY,KY
4525.city,GIEDON,GIDEON
13423.marriedexemp,2470,2740
14974.marriedexemp,274q0,2740
9547.state,C,DC
15374.zip,26416,26146
11034.haschild,,Y
5798.salary,9000,90000
16545.gender,,F
12842.salary,900y00,90000
17120.maritalstatus,,S
11721.marriedexemp,***,0
5913.singleexemp,s0,0
18663.state,EN,NE
6046.rate,82.5,8.25
14632.salary,70000***,70000
12796.state,uAZ,AZ
19128.zip,2570,25570
14886.marriedexemp,***,0
19778.childexemp,***,0
19811.rate,1.3759874,1.3758974
19798.marriedexemp,n0,0
12416.childexemp,,0
4053.singleexemp,330y0,3300
1904.state,pMT,MT
2320.state,AG,GA
14891.phone,677-656,677-9656
12931.marriedexemp,***,0
1015.phone,310-6655,301-6655
9018.city,HCEYENNE,CHEYENNE
9969.state,RO,OR
10029.zip,z83335,83335
6735.fname,eAles,Ales
11075.salary,35000***,35000
11420.singleexemp,1000***,1000
1965.areacode,207,270
9638.state,Z,AZ
24.phone,708-w9312,708-9312
16769.city,BOARD CMP,BOARD CAMP
19001.city,HONOLUU,HONOLULU
17681.phone,503-336u6,503-3366
1285.fname,Nevheenta,Neveenta
2840.rate,5.l0,5.0
5264.areacode,02,802
9176.gender,***,M
19393.singleexemp,***,0
16379.gender,uF,F
1766.salary,50000***,50000
4897.maritalstatus,oS,S
13629.salary,0000,40000
17098.areacode,07,907
7968.state,cDC,DC
13109.haschild,,N
11768.state,CD,DC
18436.fname,Bjairte,Bjarte
17803.singleexemp,,0
12604.haschild,***,N
8440.rate,6z.75,6.75
6507.singleexemp,-0*,0-*
10698.lname,Agisu,Agius
2477.phone,802-55z02,802-5502
11832.gender,nF,F
6443.fname,Luciazno,Luciano
16358.city,CAPSER,CASPER
3917.marriedexemp,x0,0
19452.rate,.9,3.9
7505.marriedexemp,20,220
8396.rate,64.5,6.45
12891.areacode,374,347
4447.zip,836f24,83624
8906.maritalstatus,***,M
11991.state,xAZ,AZ
8422.city,BOIuSE,BOISE
14770.state,CD,DC
10642.marriedexemp,2704,2740
8045.gender,aF,F
1762.areacode,4y35,435
17989.singleexemp,000,1000
11774.rate,4.p05,4.05
19752.gender,***,M
13961.childexemp,***,0
6172.city,COFFYE,COFFEY
10501.maritalstatus,kM,M
12292.rate,6.52,6.25
8483.lname,otorti,Potorti
15928.city,ChASSELTON,CASSELTON
19946.gender,pF,F
10237.lname,Cjetlin,Cejtlin
13993.marriedexemp,w40,40
9385.haschild,***,N
15844.rate,5.4444474,5.4444447
15036.maritalstatus,,S
5819.areacode,19,319
14997.state,zAZ,AZ
9872.marriedexemp,c0,0
10518.singleexemp,330b0,3300
17753.city,BRIGTHON,BRIGHTON
556.marriedexemp,4m000,4000
2506.state,CcT,CT
368.city,GLENsCLIFF,GLENCLIFF
15118.lname,urgett,Burgett
8849.state,TC,CT
18554.state,tDC,DC
17096.marriedexemp,4500,24500
6969.childexemp,2r0,20
9449.salary,5y5000,55000
1229.childexemp,3300***,3300
17314.childexemp,,0
4972.maritalstatus,,M
3296.gender,qF,F
8060.maritalstatus,***,S
1820.gender,,M
148.gender,,M
4798.city,CENTERVInLLE,CENTERVILLE
9347.singleexemp,,0
541.gender,,F
14106.childexemp,***,0
13057.zip,59442***,59442
1475.maritalstatus,oS,S
8847.salary,20n000,20000
4759.lname,Kogucre,Kogure
9309.zip,35608,35068
6894.childexemp,h0,0
5008.lname,abrielian,Gabrielian
3467.lname,wiler,Swiler
9393.phone,35-1749,359-1749
15328.singleexemp,1000***,1000
6144.city,COUNCIL GROvVE,COUNCIL GROVE
2635.marriedexemp,400,4500
5265.zip,j7738,7738
8746.fname,Noival,Norival
19660.phone,653-347l4,653-3474
12009.gender,***,F
4634.maritalstatus,***,M
476.singleexemp,***,0
9727.fname,Aannlada,Ananlada
726.childexemp,,0
17040.city,ENORE,LENORE
8982.lname,Star,Starr
6429.lname,Kkizaki,Kakizaki
13953.marriedexemp,***,0
9229.salary,75000***,75000
14406.state,CtT,CT
15014.city,JUANA DAZ,JUANA DIAZ
14487.marriedexemp,,0
4197.city,BETHeUNE,BETHUNE
13180.state,EN,NE
3212.childexemp,,0
10893.rate,2.9444444***,2.9444444
365.marriedexemp,4x000,4000
8817.state,OC,CO
4315.rate,9o.0,9.0
14394.marriedexemp,***,0
16876.maritalstatus,wM,M
13112.marriedexemp,420,4200
5006.zip,32x93,3293
18071.haschild,***,Y
17612.haschild,***,N
19792.singleexemp,b0,0
4741.marriedexemp,2500,24500
17965.state,C,DC
12127.rate,c6.0,6.0
18306.fname,Tsuya,Tasuya
14252.lname,Noulai,Nouali
16896.state,T,CT
11456.gender,,F
16730.marriedexemp,18,318
13190.city,BRAcDY,BRADY
9211.rate,0.q0,0.0
19854.city,RIGHTON,BRIGHTON
17753.state,O,CO
6642.areacode,71,701
8410.fname,Yewei,Yuewei
2242.rate,4.98331,4.298331
14803.city,CARRIZOOZ,CARRIZOZO
7290.gender,***,F
17837.marriedexemp,000,4000
7032.state,AtZ,AZ
13324.zip,3w111,3111
9745.childexemp,***,0
6863.gender,pF,F
16671.areacode,3s03,303
866.state,CD,DC
7234.zip,5953,55953
6328.phone,331-326,331-3126
11364.fname,Bienvendio,Bienvenido
1568.singleexemp,q0,0
9370.gender,,F
12059.singleexemp,104k0,1040
11119.gender,,F
11785.salary,6500,65000
3923.lname,Maderick,Manderick
18574.rate,5.722223,5.7222223
11872.city,BUzFORD,BUFORD
12649.marriedexemp,8300,3800
6182.gender,***,F
4709.childexemp,***,0
17275.zip,1t7536,17536
19995.haschild,***,Y
18886.city,LAKEgLAND,LAKELAND
2013.phone,732-104,732-1054
8074.lname,arrar,Farrar
15217.zip,454,5454
9631.state,CD,DC
2689.singleexemp,***,0
18903.maritalstatus,,S
4437.city,BURRTsON,BURRTON
17122.state,LmA,LA
13511.city,OSTON,BOSTON
1220.singleexemp,2700***,2700
19380.gender,eF,F
8274.rate,2.625127,2.6251287
10456.gender,,F
16594.zip,45511,54511
2727.salary,1000,15000
16824.zip,7001,79001
11467.marriedexemp,***,0
17440.singleexemp,,0
3834.rate,3.70,3.07
12610.childexemp,f0,0
8525.marriedexemp,0,40
16553.salary,3h0000,30000
15021.phone,99-4436,899-4436
11612.fname,Taadaki,Tadaaki
9441.fname,Kaiaki,Kaniaki
17874.state,Z,AZ
16772.marriedexemp,245k00,24500
1781.fname,Dinae,Diane
963.state,tAR,AR
14447.marriedexemp,740,2740
4191.state,DN,ND
4569.gender,sF,F
9833.state,DgC,DC
7850.gender,iF,F
5134.phone,575-570,575-8570
9026.gender,***,F
6703.rate,2.1k096876,2.1096876
18686.haschild,,N
3660.childexemp,l0,0
9419.singleexemp,000,1000
1328.city,COEAN VIEW,OCEAN VIEW
8656.marriedexemp,,0
15958.singleexemp,100,1900
6131.gender,,M
16971.zip,w39877,39877
7829.childexemp,12q00,1200
10963.maritalstatus,kS,S
923.zip,5637,5673
11383.state,A,MA
11031.areacode,40u5,405
9158.state,T,CT
11534.singleexemp,b0,0
12861.salary,0000,60000
15527.marriedexemp,***,0
19238.marriedexemp,04,40
16878.singleexemp,2000***,2000
9660.zip,9509,89509
443.haschild,sY,Y
18412.phone,80-7276,840-7276
7465.city,STyANHOPE,STANHOPE
3470.haschild,mN,N
15532.maritalstatus,,M
614.childexemp,,0
14480.singleexemp,***,0
11920.fname,Chagsik,Changsik
6010.areacode,w208,208
17921.salary,70000***,70000
16870.childexemp,q0,0
15498.rate,4.055553,4.0555553
1898.rate,00.,0.0
9304.maritalstatus,wM,M
