155701.fname,Shireli,Shirlei
177590.marriedexemp,v0,0
8598.zip,5165h4,51654
86051.city,KINwSMAN,KINSMAN
57552.marriedexemp,i0,0
90978.city,ALKENAGIK,ALEKNAGIK
120511.rate,0.a0,0.0
48054.city,LONG LKE,LONG LAKE
77485.zip,66014,66041
138880.gender,bF,F
623.gender,***,F
178792.lname,wen,Swen
41895.maritalstatus,***,M
170317.salary,9u5000,95000
92939.maritalstatus,pS,S
13041.fname,Asia,Assia
150585.city,EMLMORE,MELMORE
108563.lname,Nouranni,Nourani
158138.city,LEXANDER,ALEXANDER
156817.city,ALDN,ALDEN
128090.zip,20541,20451
76900.singleexemp,***,0
51473.city,AMRNE,MARNE
46993.fname,emke,Femke
117708.fname,Morteaz,Morteza
162035.phone,25-2782,250-2782
98503.marriedexemp,c0,0
185147.city,vCHIGNIK,CHIGNIK
93840.state,zTN,TN
129508.zip,3506n8,35068
171445.state,KA,AK
143324.singleexemp,f0,0
60920.singleexemp,,0
74015.phone,308-940,308-9240
64382.maritalstatus,tM,M
109351.haschild,sY,Y
86227.state,JN,NJ
135278.state,K,AK
149353.marriedexemp,,0
8234.maritalstatus,rS,S
99208.singleexemp,p0,0
82223.childexemp,10i00,1000
172462.childexemp,l0,0
40331.areacode,9n10,910
61037.singleexemp,,0
114305.childexemp,p0,0
80371.phone,326-y6046,326-6046
168877.marriedexemp,***,0
57443.rate,0.12,0.712
161519.zip,9953,19953
119292.marriedexemp,i40,40
69897.singleexemp,,0
103196.city,BREWOTN,BREWTON
75668.childexemp,d0,0
120127.state,H,NH
185046.marriedexemp,6i600,6600
951.gender,,F
29566.singleexemp,,0
38230.state,JN,NJ
12719.rate,70.,7.0
34198.singleexemp,u0,0
67801.salary,90g000,90000
75360.singleexemp,240,2400
27968.childexemp,150,1500
63410.zip,99504***,99504
144513.singleexemp,***,0
127543.areacode,4c35,435
186713.zip,1977,19977
948.gender,,F
151223.maritalstatus,,M
121143.marriedexemp,,0
1388.gender,***,F
191221.singleexemp,e0,0
105796.areacode,75,775
73357.state,K,AK
2133.singleexemp,575,3575
169764.areacode,62r0,620
1293.maritalstatus,,M
178814.rate,4.6r3,4.63
181465.fname,Waif,Wafi
1313.gender,jF,F
150918.childexemp,l0,0
32218.zip,8g2335,82335
89781.areacode,807,870
1127.zip,1831,71831
70596.salary,9000,90000
123357.areacode,296,269
30950.marriedexemp,a0,0
189568.state,J,NJ
95953.childexemp,h0,0
64618.city,ALBUQUERQUxE,ALBUQUERQUE
146792.phone,7852343,785-2343
127712.childexemp,z0,0
1106.state,CD,DC
160100.phone,183-7571,183-7517
53567.salary,3000v0,30000
1272.gender,,F
86523.marriedexemp,***,0
107966.childexemp,***,0
131010.areacode,44,414
3506.phone,781-309,781-3009
12341.areacode,680,860
69368.salary,0000,90000
107867.state,AaZ,AZ
22460.areacode,082,802
61831.salary,5000,75000
190522.fname,Yllamraju,Yellamraju
36996.phone,31c9-3332,319-3332
67079.city,ALBUQEURQUE,ALBUQUERQUE
139275.areacode,230,203
49269.gender,***,F
109052.areacode,62,662
188603.city,SITHFIELD,SMITHFIELD
170164.singleexemp,0,20
55740.maritalstatus,***,M
79622.state,SK,KS
185576.zip,30686,30668
195226.fname,ukari,Yukari
168947.salary,80y000,80000
177281.marriedexemp,***,0
162299.singleexemp,,0
124535.state,K,AK
140982.phone,698-4711,689-4711
132528.rate,.95,5.95
2611.areacode,14,414
169601.marriedexemp,o0,0
21921.state,KA,AK
19840.zip,5875,58735
122384.lname,Zechenr,Zechner
155282.marriedexemp,,0
21263.rate,8.52,8.25
108303.areacode,088,808
87870.gender,,M
164092.salary,3j0000,30000
182830.rate,8.5,8.25
142327.city,IMLTON,MILTON
129261.maritalstatus,,S
147794.marriedexemp,***,0
165453.state,L,AL
33254.zip,2425g6,24256
149411.marriedexemp,k0,0
48675.singleexemp,***,0
165648.childexemp,***,0
164214.maritalstatus,,S
105389.lname,Eskiciomglu,Eskicioglu
13186.childexemp,,0
10246.gender,***,M
48575.gender,,F
24699.fname,Catucsia,Catuscia
140893.salary,0000,60000
136761.fname,tRaed,Raed
127086.haschild,pN,N
62620.maritalstatus,***,M
104510.maritalstatus,,S
182869.marriedexemp,x0,0
58667.rate,53,5.3
30024.childexemp,o0,0
36371.state,J,NJ
149335.state,OM,MO
13327.state,ED,DE
98417.zip,4621,46721
113702.lname,Piaronny,Picaronny
173223.state,pRI,RI
71552.rate,.625,6.25
38580.maritalstatus,bS,S
115015.singleexemp,***,0
110491.state,J,NJ
156018.rate,4s.0325,4.0325
112755.zip,1939,19939
189428.fname,Yanxinag,Yanxiang
114958.city,ALOCVE,ALCOVE
122276.singleexemp,k0,0
197798.gender,,M
105042.childexemp,***,0
105783.rate,53.,5.3
82731.areacode,082,802
120135.salary,40000***,40000
159550.fname,ofie,Sofie
33777.state,JN,NJ
125903.fname,Nrio,Norio
91771.salary,5000,45000
110233.city,ALBUQUEyRQUE,ALBUQUERQUE
115603.city,PHEPLS,PHELPS
170694.state,tAK,AK
40126.fname,xEero,Eero
171749.rate,.6206293,7.6206293
20530.salary,i30000,30000
13895.marriedexemp,600,6600
192708.salary,4500y0,45000
424.gender,***,F
105944.lname,Ruhe,Ruhle
181746.maritalstatus,gM,M
3013.state,KA,AK
64259.marriedexemp,66n00,6600
1407.gender,,F
77439.salary,20000***,20000
49495.singleexemp,r0,0
142885.marriedexemp,n0,0
106098.zip,467f83,46783
537.gender,,F
135396.city,FEsRTILE,FERTILE
166756.haschild,***,Y
155414.city,LIVREPOOL,LIVERPOOL
134477.city,ALCALnDE,ALCALDE
65741.childexemp,***,0
913.state,C,DC
113124.fname,Michelimne,Micheline
87496.haschild,,Y
176826.haschild,,Y
46048.childexemp,***,0
103951.zip,35460,35406
32609.childexemp,e0,0
89473.city,GRANTSVIrLLE,GRANTSVILLE
174250.areacode,3y02,302
36216.gender,***,F
65932.salary,30500,35000
182237.areacode,y605,605
95397.childexemp,***,0
116415.phone,500-8z113,500-8113
123277.haschild,***,N
16106.state,NjJ,NJ
5952.marriedexemp,g0,0
170310.phone,236-9470,236-9407
5914.marriedexemp,***,0
98334.fname,Levnet,Levent
42466.phone,4855908,485-5908
60423.singleexemp,,0
1206.gender,***,F
56853.haschild,***,N
124239.childexemp,,0
107700.state,DN,ND
846.gender,nF,F
163809.singleexemp,g0,0
115423.rate,58.,5.8
67512.marriedexemp,3m800,3800
87351.gender,kM,M
90445.city,WINFIELwD,WINFIELD
1054.gender,,F
126482.childexemp,,0
58932.maritalstatus,***,S
167441.city,ALBUQUEQRUE,ALBUQUERQUE
113949.state,J,NJ
152149.marriedexemp,u0,0
189966.lname,Apstopopoulos,Apostopopoulos
62821.lname,Pniheiro,Pinheiro
45650.city,ALBUUQERQUE,ALBUQUERQUE
191796.state,JN,NJ
78745.childexemp,***,0
916.gender,***,F
136644.lname,Uulman,Ulman
190964.salary,8k5000,85000
82112.areacode,i215,215
184785.lname,Mulkres,Mulkers
90864.fname,Khyun,Kihyun
150992.maritalstatus,bM,M
140733.lname,Taara,Tayara
149115.zip,3801,31801
134148.marriedexemp,***,0
141782.city,AiLBUQUERQUE,ALBUQUERQUE
72942.singleexemp,,0
176316.state,KA,AK
11025.zip,2019,20219
149321.areacode,361,316
170960.singleexemp,,0
95472.salary,0000,80000
61410.childexemp,***,0
425.gender,***,F
153418.marriedexemp,9000***,9000
89919.childexemp,***,0
184364.singleexemp,d0,0
1327.gender,bF,F
75661.zip,1240,12470
155139.fname,Shismhon,Shimshon
169294.salary,0000,10000
139845.state,AcK,AK
108692.rate,3.a9097095,3.9097095
56766.areacode,2g56,256
23095.state,HN,NH
38894.childexemp,***,0
63637.maritalstatus,,M
134850.state,VN,NV
35035.lname,herief,Cherief
73329.fname,Jacksdon,Jackson
73610.fname,Jarechun,Jaechun
1429.gender,,F
197910.areacode,01,801
36841.lname,Hetstuck,Hedtstuck
157370.state,bAK,AK
183360.childexemp,,0
69474.fname,Hyunko,Hyunok
155357.city,ALBUUQERQUE,ALBUQUERQUE
84083.maritalstatus,,S
173022.fname,Tmoya,Tomoya
29449.state,K,AK
58269.childexemp,o1000,1000
80881.areacode,q910,910
10501.rate,70.,7.0
39937.gender,qM,M
18278.areacode,9s18,918
1421.gender,,F
179026.state,KA,AK
43564.phone,197-1144***,197-1144
102921.lname,Bunk,Brunk
153048.marriedexemp,***,0
93353.singleexemp,x0,0
1305.gender,,F
24272.marriedexemp,0400,4000
2045.state,RP,PR
20410.lname,Widenatuer,Widenauer
17240.salary,0000,50000
10717.city,KANSS CITY,KANSAS CITY
90675.city,ALBUQUEQUE,ALBUQUERQUE
147494.state,AdK,AK
87104.rate,1.n3758974,1.3758974
150878.state,CD,DC
199043.singleexemp,m0,0
156525.childexemp,,0
102835.maritalstatus,uS,S
168165.marriedexemp,***,0
186428.gender,***,M
119943.zip,5078,55078
87395.singleexemp,,0
114002.haschild,,N
55776.childexemp,300,3300
77608.lname,Seigl,Siegl
32686.city,HORMIGUERlOS,HORMIGUEROS
15135.marriedexemp,***,0
77267.singleexemp,h0,0
133677.areacode,50e5,505
89427.rate,.27036924,2.7036924
182274.state,dWI,WI
79609.marriedexemp,k0,0
81392.maritalstatus,wM,M
49426.phone,434-239r8,434-2398
41910.marriedexemp,6020,6200
159779.gender,qF,F
110609.state,K,AK
117161.childexemp,,0
145538.marriedexemp,***,0
151482.singleexemp,e0,0
642.gender,,F
5974.city,OCAzLA,OCALA
158294.city,ALBUQUERjQUE,ALBUQUERQUE
95818.singleexemp,285y0,2850
47773.salary,400h00,40000
139703.marriedexemp,h0,0
133631.salary,80j000,80000
35766.city,LADEN,ALDEN
118662.haschild,aY,Y
155884.fname,sShivi,Shivi
140018.city,ALBUQUERQEU,ALBUQUERQUE
97307.rate,.4,3.4
76669.areacode,363,336
112844.marriedexemp,5070,5700
21922.maritalstatus,,S
128530.city,WAHSINGTON,WASHINGTON
118455.state,KA,AK
107653.marriedexemp,,0
77533.rate,k4.63,4.63
165081.city,WESTBOROUH,WESTBOROUGH
178165.singleexemp,2y100,2100
198421.salary,7t5000,75000
73895.marriedexemp,q0,0
111623.maritalstatus,,S
139717.gender,***,F
1310.gender,***,F
190321.city,ALBUQUREQUE,ALBUQUERQUE
71597.rate,i0.0,0.0
113166.state,KA,AK
118304.singleexemp,x0,0
111647.childexemp,u0,0
163037.state,DM,MD
8993.rate,.00,0.0
126.phone,f511-3765,511-3765
74397.fname,akub,Jakub
131816.singleexemp,***,0
141030.haschild,***,Y
137265.rate,50,5.0
27525.childexemp,,0
73687.singleexemp,,0
74721.childexemp,,0
72577.rate,0t.0,0.0
128751.state,J,NJ
2778.areacode,370,307
153135.childexemp,k0,0
45429.singleexemp,,0
61785.childexemp,,0
489.state,DcC,DC
85164.phone,l215-4578,215-4578
39427.areacode,q662,662
77075.singleexemp,,0
10166.childexemp,,0
82348.maritalstatus,,S
21704.haschild,***,Y
68744.rate,4.381097,4.3881097
73653.salary,7p5000,75000
99906.maritalstatus,,M
182887.state,J,NJ
85369.marriedexemp,***,0
23.state,C,DC
165219.areacode,8z48,848
114757.state,NaJ,NJ
164409.childexemp,***,0
104801.childexemp,***,0
163389.areacode,a234,234
1032.gender,,F
168330.zip,59h01,5901
68295.state,JN,NJ
10932.marriedexemp,2g4500,24500
174560.state,KA,AK
22680.fname,Bi,Bui
182666.lname,Betouren,Betourne
173864.areacode,041,401
37130.fname,DoKyqeong,DoKyeong
176019.marriedexemp,***,0
165277.lname,Kcurematsu,Kurematsu
143741.city,BEVELY,BEVERLY
3364.state,C,DC
183418.haschild,***,N
192137.marriedexemp,***,0
106816.rate,.5,8.5
73352.salary,50000***,50000
13543.state,JN,NJ
155535.maritalstatus,,M
48356.childexemp,r3300,3300
56446.phone,970-7714,790-7714
5627.salary,5000,50000
138552.salary,5000,55000
83087.state,JN,NJ
28527.fname,Christipaan,Christiaan
171404.singleexemp,a0,0
7326.childexemp,***,0
175695.gender,,M
96066.gender,***,M
35512.childexemp,120,1200
1257.gender,***,F
93582.childexemp,***,0
147037.state,I,RI
125960.salary,80000***,80000
150533.salary,1500,15000
97130.rate,825,8.25
46016.city,LBUQUERQUE,ALBUQUERQUE
122712.marriedexemp,v0,0
48025.lname,Fuaschi,Fusaschi
23374.state,K,AK
67966.zip,08471,80471
530.gender,***,F
1145.gender,hF,F
107276.state,C,SC
175325.marriedexemp,,0
135572.fname,Qinsgheng,Qingsheng
65403.zip,9442,97442
127791.maritalstatus,***,S
150001.haschild,uN,N
96007.rate,6.300213,6.3900213
120234.childexemp,,0
10163.zip,649,6489
189762.phone,949-8b925,949-8925
140890.salary,80000***,80000
165330.childexemp,,0
70149.city,ALBUQUEgRQUE,ALBUQUERQUE
25816.maritalstatus,dM,M
67181.haschild,***,N
101113.state,KA,AK
6111.singleexemp,i0,0
175356.zip,6786g4,67864
2220.state,JN,NJ
104035.singleexemp,700***,700
117003.gender,***,F
33608.singleexemp,m0,0
165431.gender,,M
178567.childexemp,t0,0
116852.zip,5024,65024
194298.phone,860-39x01,860-3901
197701.singleexemp,***,0
29887.childexemp,,0
229.state,DkC,DC
135879.state,K,AK
137363.marriedexemp,***,0
162050.singleexemp,***,0
182836.marriedexemp,***,0
95649.childexemp,,0
21490.areacode,m302,302
55417.state,A,MA
67545.marriedexemp,,0
26816.childexemp,,0
162682.marriedexemp,***,0
70714.state,xOH,OH
673.gender,***,F
169845.maritalstatus,,S
122980.zip,80572,85072
62047.maritalstatus,,S
113835.salary,900r00,90000
173603.phone,21k7-3944,217-3944
77759.state,NoJ,NJ
186029.childexemp,y0,0
2937.state,DvC,DC
1166.gender,bF,F
141137.marriedexemp,08,80
156224.childexemp,x0,0
63921.phone,53m4-7355,534-7355
68883.salary,85c000,85000
55698.zip,7269,72069
159940.singleexemp,***,0
65357.rate,25092063,2.5092063
196937.singleexemp,,0
50542.childexemp,15m00,1500
142429.singleexemp,,0
109068.rate,70,7.0
74556.phone,385-3053,835-3053
170903.childexemp,l2475,2475
20046.state,NaJ,NJ
72811.fname,Iov,Ivo
194641.marriedexemp,***,0
63760.areacode,431,413
53036.salary,9500,95000
149670.rate,.0,5.0
87155.zip,601v99,60199
121498.fname,Narics,Narcis
64240.fname,ichum,Hichum
24776.childexemp,***,0
139470.singleexemp,***,0
1125.gender,jF,F
119226.gender,xM,M
110867.haschild,,Y
39051.childexemp,,0
41065.lname,Anlguin,Angluin
187633.childexemp,,0
186775.gender,,F
173341.rate,4i.63,4.63
158965.phone,702-843,702-8483
43476.salary,300f00,30000
120464.zip,7077,70577
191771.marriedexemp,,0
18078.childexemp,y0,0
195728.state,KA,AK
112761.state,zNJ,NJ
70304.haschild,kY,Y
55645.fname,oGopeel,Goopeel
111730.marriedexemp,,0
113812.gender,***,F
113708.childexemp,***,0
104820.marriedexemp,***,0
194139.state,NdJ,NJ
7016.zip,2073,20783
122458.city,ALBUuQUERQUE,ALBUQUERQUE
108779.phone,40-5603,340-5603
63846.haschild,***,N
172932.state,sAZ,AZ
56892.singleexemp,***,0
19898.haschild,,N
78482.marriedexemp,,0
72994.city,CAReSON CITY,CARSON CITY
90960.singleexemp,310,3100
14788.fname,Ayzman,Ayman
158224.singleexemp,,0
148597.childexemp,000,1000
4633.city,DURANaT,DURANT
140821.gender,uM,M
22115.state,KA,AK
31467.lname,ores,Lores
170969.rate,93,9.3
197521.singleexemp,,0
103493.salary,010000,100000
168433.city,KOBK,KOBUK
55344.fname,Gkoer,Goker
121347.city,ALDEyR,ALDER
21081.zip,5625,56245
45618.state,NfJ,NJ
56836.haschild,rN,N
196035.zip,3234,53234
173432.fname,Torgirm,Torgrim
146923.areacode,05,505
122637.phone,969-870,969-8770
94398.maritalstatus,lM,M
108269.zip,k87569,87569
57478.city,TEWKSUBRY,TEWKSBURY
82094.city,ALBUQUERQEU,ALBUQUERQUE
147695.phone,607-7518,607-7158
43743.marriedexemp,600,6600
5758.singleexemp,,0
27495.singleexemp,***,0
53003.phone,299-0164,299-1064
4568.childexemp,k0,0
62732.phone,43s4-3006,434-3006
53978.rate,.90,9.0
57919.zip,2627,26627
189524.rate,3563716,3.563716
75019.marriedexemp,,0
166937.singleexemp,x0,0
147074.rate,0.t0,0.0
1405.gender,***,F
44112.childexemp,***,0
194376.marriedexemp,***,0
151458.state,K,AK
75908.city,ALBUQERQUE,ALBUQUERQUE
85328.maritalstatus,***,M
104373.fname,Mahmuod,Mahmoud
170175.zip,6767,67467
144770.childexemp,***,0
102462.phone,811-119,811-2119
108727.gender,***,F
60762.state,gNJ,NJ
60835.state,AoK,AK
174682.state,kNC,NC
8825.lname,Stgagers,Staggers
119508.marriedexemp,***,0
57576.maritalstatus,,M
178448.marriedexemp,g0,0
176453.gender,,M
1045.gender,***,F
101695.haschild,bY,Y
85102.state,AyK,AK
107974.lname,Blvelloch,Blelloch
13654.fname,Atahiru,Attahiru
144388.state,iTN,TN
216.rate,53,5.3
134068.state,K,AK
142897.salary,20500,25000
42762.state,KA,AK
17102.maritalstatus,xS,S
168312.haschild,***,N
85337.marriedexemp,h0,0
94326.singleexemp,***,0
95514.areacode,07,907
167242.state,JN,NJ
58905.singleexemp,m0,0
27933.city,AWLWORTH,WALWORTH
145743.maritalstatus,aS,S
54194.phone,x142-3935,142-3935
742.gender,***,F
105711.maritalstatus,qS,S
132878.singleexemp,***,0
74827.zip,22568,25268
189657.haschild,,N
65920.rate,5.4z5,5.45
109692.salary,15000***,15000
174863.rate,30.,3.0
29469.areacode,35,435
37735.marriedexemp,c0,0
77481.salary,5000,85000
65440.zip,29332,29323
20663.areacode,36,336
163056.city,HPOENIX,PHOENIX
148095.phone,166-9165,166-9156
166566.childexemp,000,1000
27244.marriedexemp,***,0
70611.singleexemp,u0,0
121916.areacode,790,970
159389.childexemp,n0,0
137377.maritalstatus,***,M
33220.lname,Freedom***,Freedom
133549.fname,Pamena,Plamena
186804.singleexemp,***,0
158100.state,MeD,MD
16962.marriedexemp,4590,4950
18719.areacode,05,605
81781.state,K,AK
66458.marriedexemp,***,0
171164.fname,Thulxasiraman,Thulasiraman
172754.childexemp,***,0
166446.maritalstatus,nM,M
32147.childexemp,,0
114373.marriedexemp,n0,0
60428.salary,1000a00,100000
40667.maritalstatus,,M
142085.fname,Ricards,Richards
69996.state,K,AK
67301.singleexemp,3l300,3300
196159.fname,uriy,Yuriy
12750.lname,Cousinaeu,Cousineau
106301.city,VIENAN,VIENNA
120604.rate,.50,5.0
187567.singleexemp,***,0
131580.fname,PerOlfo,PerOlof
78081.singleexemp,,0
188000.state,A,LA
32808.areacode,807,870
48335.marriedexemp,,0
196219.zip,3760,38760
21768.singleexemp,s0,0
113212.rate,.0,0.0
66423.rate,.21,2.1
192087.marriedexemp,n0,0
153428.singleexemp,j0,0
97491.rate,1.2099o231,1.2099231
1265.gender,nF,F
43990.areacode,4l32,432
98556.phone,300-408,300-9408
74185.marriedexemp,t0,0
83596.phone,422-7366,422-7636
155488.phone,999-8643***,999-8643
54648.maritalstatus,,S
41181.state,KA,AK
135635.rate,2k.0,2.0
68242.singleexemp,o0,0
120572.singleexemp,e0,0
109630.gender,,F
3700.lname,kKent,Kent
152034.city,xEPPING,EPPING
95348.singleexemp,***,0
186268.childexemp,o0,0
47393.singleexemp,k0,0
123811.rate,d5.95,5.95
42741.city,BIOSE,BOISE
77498.gender,,F
174741.state,T,CT
27386.haschild,***,N
19909.gender,***,M
120951.city,ABUQUERQUE,ALBUQUERQUE
105051.fname,Malr,Malur
130071.gender,,F
168619.gender,eM,M
86912.city,ALBUQEURQUE,ALBUQUERQUE
179997.city,ENO,RENO
7337.areacode,9o52,952
12237.phone,3585-071,358-5071
66172.singleexemp,x87,87
95452.areacode,66l0,660
152945.rate,50.,5.0
12376.areacode,81,801
76090.state,fNJ,NJ
12360.state,T,VT
149439.marriedexemp,,0
95539.zip,23303,32303
548.gender,gF,F
15281.zip,55288,52588
192040.marriedexemp,71n50,7150
67934.state,JN,NJ
192867.zip,571,5761
675.gender,***,F
151817.lname,Drendth,Drenth
92589.childexemp,***,0
29246.fname,Chuyi,Chunyi
116333.areacode,02,702
167845.marriedexemp,,0
66825.fname,ongguang,Hongguang
181525.areacode,536,563
159031.singleexemp,900,1900
170204.state,yNJ,NJ
180346.haschild,,Y
14429.state,MlO,MO
118081.marriedexemp,***,0
160928.fname,nSozo,Sozo
99986.state,K,AK
128851.lname,Anandman,Anandan
35440.state,PmR,PR
16251.state,K,AK
1373.gender,***,F
126323.haschild,sN,N
137663.city,AEX,ALEX
161086.rate,53.,5.3
16647.gender,,F
113733.maritalstatus,,M
18068.maritalstatus,***,M
75139.maritalstatus,,M
16162.state,fNJ,NJ
95229.state,J,NJ
198633.areacode,3b19,319
163209.childexemp,v0,0
125879.zip,481l22,48122
82656.singleexemp,m0,0
143984.marriedexemp,a0,0
143609.singleexemp,***,0
68184.childexemp,3030,3300
141701.state,jAK,AK
82569.fname,Jozref,Jozef
114397.state,VrT,VT
155031.fname,Sikharesh,Shikharesh
10121.city,NEWAK,NEWARK
33921.city,ALmBUQUERQUE,ALBUQUERQUE
145596.salary,40000***,40000
142784.areacode,70y2,702
34723.salary,m95000,95000
8926.haschild,***,N
121040.areacode,38,308
139833.childexemp,,0
112879.fname,Mcihaelis,Michaelis
115001.city,tTRENTON,TRENTON
63903.singleexemp,,0
1426.gender,wF,F
120090.phone,601-76f59,601-7659
114798.marriedexemp,***,0
97542.salary,1500,15000
153013.marriedexemp,,0
75777.zip,340,5340
10296.zip,216,2816
153192.lname,Zniovjev,Zinovjev
40476.zip,95736,97536
109368.haschild,zY,Y
187572.zip,38112***,38112
100209.state,vAK,AK
29167.state,VxA,VA
19336.city,SANIT DAVID,SAINT DAVID
25502.state,R,PR
62930.city,MOUNATIN VIEW,MOUNTAIN VIEW
94003.city,ALBUQUEdRQUE,ALBUQUERQUE
134698.areacode,8x43,843
103666.singleexemp,250,2250
112406.city,ALBUQUEQRUE,ALBUQUERQUE
108718.rate,4.91639,4.916379
74771.childexemp,3100,1300
65596.maritalstatus,lS,S
167342.city,ALBUQUERQfUE,ALBUQUERQUE
36409.maritalstatus,,M
127902.state,Z,AZ
134570.marriedexemp,***,0
149495.state,NeJ,NJ
86000.rate,h6.5,6.5
14437.childexemp,3200,2300
134194.maritalstatus,,S
177716.marriedexemp,,0
178462.salary,05000,50000
132500.gender,,M
142998.city,BARRW,BARROW
150920.state,KA,AK
81432.state,JN,NJ
20177.childexemp,f0,0
120187.lname,Agmn,Agmon
41949.city,LABUQUERQUE,ALBUQUERQUE
182853.salary,550c00,55000
144741.childexemp,r0,0
16176.lname,upte,Gupte
53328.childexemp,,0
116187.rate,.0,5.0
78036.singleexemp,c0,0
170826.city,BURLINGOTN,BURLINGTON
40694.rate,8.8,8.98
78427.city,ALBUQUzERQUE,ALBUQUERQUE
195933.marriedexemp,q0,0
161281.singleexemp,n0,0
189931.singleexemp,,0
1416.gender,***,F
175791.marriedexemp,1040,1400
177293.city,SALTLAKE CITY,SALT LAKE CITY
25907.marriedexemp,f5700,5700
180008.singleexemp,,0
159587.marriedexemp,,0
110090.childexemp,w0,0
181297.lname,Stiegepr,Stieger
59061.areacode,861,816
435.gender,,F
137460.haschild,,N
37226.marriedexemp,,0
64571.fname,Hipdemitsu,Hidemitsu
83015.lname,Brccini,Braccini
191422.city,ALBUUQERQUE,ALBUQUERQUE
23390.city,ABLUQUERQUE,ALBUQUERQUE
95790.marriedexemp,***,0
17750.state,K,AK
686.gender,***,F
118830.singleexemp,j0,0
106461.salary,10z0000,100000
127895.fname,Oarna,Orna
64.salary,9500,95000
187045.zip,9322,93232
115960.singleexemp,***,0
47263.state,V,WV
126313.childexemp,***,0
19179.state,OeR,OR
89499.state,IuL,IL
40573.fname,Eiiuti,Eiiti
19644.childexemp,a0,0
96990.haschild,***,Y
103915.lname,Nweberg,Newberg
141013.lname,Fraysseix***,Fraysseix
2626.state,DqC,DC
81959.city,IDXON,DIXON
62590.areacode,3s39,339
118059.phone,996-307,996-6307
115697.singleexemp,300,3300
75728.areacode,08,808
182418.state,J,NJ
183423.gender,***,M
72906.lname,uck,Guck
11264.city,ALDNE,ALDEN
111433.singleexemp,,0
32499.areacode,630,360
117538.state,KA,AK
146914.marriedexemp,6v200,6200
30899.maritalstatus,jS,S
153078.salary,15r000,15000
150503.rate,60.,6.0
98218.marriedexemp,,0
156050.fname,Sholmi,Shlomi
41830.phone,193-5453,193-4553
193313.fname,Yosvhiji,Yoshiji
101326.city,PAWTUCET,PAWTUCKET
155785.city,ALnBUQUERQUE,ALBUQUERQUE
98693.haschild,,N
25732.rate,00.,0.0
174577.state,lAK,AK
83602.city,LACESTER,ALCESTER
90302.zip,1966,19966
185156.fname,Woxei,Woei
17178.state,KA,AK
179883.childexemp,,0
46525.state,Z,AZ
114775.state,D,ID
188214.state,A,IA
76751.fname,Jnenie,Jennie
18886.lname,Ciomip,Ciompi
541.gender,***,F
169934.rate,3.j4,3.4
89166.salary,4500,45000
688.gender,***,F
139926.singleexemp,w0,0
128073.childexemp,,0
8389.city,CAM DOUGLAS,CAMP DOUGLAS
4806.fname,lAen,Alen
14334.city,ALBUQUERQEU,ALBUQUERQUE
109644.zip,83161,38161
188806.childexemp,***,0
149104.areacode,97,907
14543.childexemp,,0
42544.rate,00.,0.0
33755.state,bNJ,NJ
114424.state,AqK,AK
133160.childexemp,22r50,2250
117482.city,MARSHtALL,MARSHALL
168406.state,NuJ,NJ
59474.city,NEEDHAM EIGHTS,NEEDHAM HEIGHTS
18058.rate,2.263796,2.267396
33667.singleexemp,***,0
146974.city,ALBUQUERQaUE,ALBUQUERQUE
149747.lname,Hegder,Hedger
118457.salary,7000,75000
42925.phone,336-5283,336-5238
130005.singleexemp,***,0
126696.maritalstatus,sS,S
166764.city,ARLEIGH,RALEIGH
135675.areacode,710,701
62412.city,DDOGE,DODGE
171269.childexemp,c0,0
16064.zip,96777***,96777
110907.state,KA,AK
160365.marriedexemp,b0,0
88213.singleexemp,,0
135151.city,AnLDER,ALDER
111586.city,PEvRRY,PERRY
122111.gender,***,M
80571.marriedexemp,2000,12000
95682.singleexemp,***,0
130553.state,K,AK
39794.childexemp,s0,0
168561.rate,7.2r01049,7.201049
132122.maritalstatus,,M
80215.singleexemp,u0,0
156834.state,MrD,MD
167717.marriedexemp,,0
145961.fname,Ryyszard,Ryszard
8893.rate,.9,6.9
10727.city,ALBUQUERlQUE,ALBUQUERQUE
142712.zip,2982,2892
181692.maritalstatus,,M
20245.gender,,F
15287.haschild,***,Y
32863.fname,Danmu,Danu
27628.singleexemp,,0
27193.gender,***,M
94682.areacode,j775,775
45798.marriedexemp,300,3000
80943.haschild,,N
177834.city,GLENsCOE,GLENCOE
168753.lname,Mcheaux,Micheaux
191938.state,HO,OH
46834.state,K,AK
54654.haschild,rY,Y
108475.areacode,61i8,618
194359.haschild,***,N
190019.singleexemp,2400***,2400
155056.state,KA,AK
102604.city,ALBUQUERwQUE,ALBUQUERQUE
176778.marriedexemp,,0
28550.areacode,5m73,573
137262.city,ALBUUERQUE,ALBUQUERQUE
196712.zip,7028,7082
198226.marriedexemp,,0
21626.areacode,775***,775
128318.singleexemp,n0,0
31343.phone,376-5929,367-5929
56232.singleexemp,a0,0
187984.state,A,LA
39873.marriedexemp,,0
93604.zip,i28043,28043
41276.maritalstatus,***,S
143529.lname,yre,Eyre
528.gender,pF,F
903.gender,***,F
196556.phone,93-5302,293-5302
11210.gender,***,M
174093.phone,190-238,190-2938
113081.lname,Siefokes,Siefkes
23493.lname,Roodny,Roodyn
70249.lname,Cavllo,Cavallo
51780.phone,886-394,886-3904
31858.state,pAK,AK
20268.salary,5000,15000
40835.phone,69-8025,629-8025
137228.rate,.0,6.0
